Station,Lat,Lng
JWS_Padaro_Inshore_A,34.41342,-119.56553
JWS_Padaro_Inshore_B,34.41036,-119.55805
JWS_Padaro_Inshore_C,34.40792,-119.55454
JWS_Padaro_Inshore_D,34.4033,-119.54847
JWS_Padaro_Inshore_E,34.4007,-119.54592
JWS_Padaro_Inshore_F,34.39802,-119.54262
JWS_Padaro_Inshore_G,34.39442,-119.53439
JWS_Padaro_Inshore_H,34.39336,-119.53008
JWS_Padaro_Offshore_A,34.40923,-119.56564
JWS_Padaro_Offshore_B,34.40777,-119.56136
JWS_Padaro_Offshore_C,34.40535,-119.55786
JWS_Padaro_Offshore_D,34.40253,-119.55473
JWS_Padaro_Offshore_E,34.39985,-119.55136
JWS_Padaro_Offshore_F,34.3972,-119.54804
JWS_Padaro_Offshore_G,34.39458,-119.54497
JWS_Padaro_Offshore_H,34.3917,-119.54121
JWS_Padaro_Offshore_I,34.39091,-119.53667
JWS_Padaro_Offshore_J,34.38998,-119.531
JWS_SantaClaus_OS1,34.41124,-119.56165
JWS_SantaClaus_OS2,34.40479,-119.55199
JWS_Carpinteria_North,34.39591,-119.53958
JWS_Carpinteria_South,34.39195,-119.52657
JWS_Padaro_Buoy,34.397652,-119.5504315
JWS_Padaro_Mid_A,34.39726,-119.54523
JWS_Padaro_Mid_B,34.39481,-119.54215
JWS_Padaro_Mid_C,34.39294,-119.53622
JWS_Padaro_Mid_D,34.39185,-119.5334
