TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX
2020-10,A69-1602-8660,5/15/2020 17:16,5407.27,4518.04,5.0,34.394744,-119.544779,9,3.5,,,,,CN In_E In_F Off_E Off_F Off_G,CN In_E In_F Off_E Off_F Off_G
2020-10,A69-1602-8660,5/15/2020 18:20,5249.3,4510.81,5.0,34.394679,-119.546497,4,3.8,,,,,In_E In_F Off_G PB,In_E In_F Off_G PB
2020-10,A69-1602-8660,5/15/2020 18:23,5226.32,4625.8,5.0,34.395716,-119.546747,11,2.8,,,,,In_E In_F Off_E Off_F Off_G PB,In_E In_F Off_E Off_F Off_G PB
2020-10,A69-1602-8660,5/15/2020 18:24,5261.37,4689.85,5.0,34.396293,-119.546366,1,10.2,,,,,In_F Off_D Off_E Off_F PB,In_F Off_E PB
2020-10,A69-1602-8660,5/15/2020 18:27,5341.88,4789.62,5.0,34.397192,-119.54549,17,2.5,,,,,CN In_D In_E In_F Off_D Off_E Off_F Off_G PB,CN In_E In_F Off_E Off_G PB
2020-10,A69-1602-8660,5/15/2020 18:28,5370.23,4858.18,5.0,34.39781,-119.545182,13,2.8,,,,,CN In_D In_E In_F Off_E Off_F PB,CN In_D In_E In_F Off_E PB
2020-10,A69-1602-8660,5/15/2020 18:30,5388.49,4960.1,5.0,34.398729,-119.544983,1,3.0,,,,,In_E In_F Off_F,In_E In_F Off_F
2020-10,A69-1602-8660,5/15/2020 18:35,5393.09,5250.99,5.0,34.401352,-119.544933,1,8.2,,,,,In_E In_F Off_E Off_F,In_F Off_E Off_F
2020-10,A69-1602-8660,5/15/2020 18:37,5306.37,5264.68,5.0,34.401475,-119.545876,7,4.7,,,,,In_D In_E Off_E Off_F PB,In_D In_E Off_E Off_F PB
2020-10,A69-1602-8660,5/15/2020 18:39,5228.63,5358.95,5.0,34.402325,-119.546721,6,3.8,,,,,In_D In_E Off_D Off_E OS2,In_D In_E Off_D Off_E OS2
2020-10,A69-1602-8660,5/15/2020 18:46,4912.74,5689.83,5.0,34.405308,-119.550157,4,5.0,,,,,In_D Off_C Off_D Off_E OS2,In_D Off_C Off_D Off_E OS2
2020-10,A69-1602-8660,5/15/2020 18:49,4778.11,5811.23,5.0,34.406402,-119.551621,6,3.6,,,,,In_C In_D Off_C Off_D OS2,In_C In_D Off_C Off_D OS2
2020-10,A69-1602-8660,5/15/2020 18:52,4635.48,5917.89,5.0,34.407363,-119.553173,4,4.0,,,,,In_C Off_C Off_D OS2,In_C Off_C Off_D OS2
