TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX
2020-13,A69-1602-8664,5/22/2020 14:08,4600.43,5936.79,5.0,34.407534,-119.553554,4,3.8,,,,,In_C Off_C Off_D OS2,In_C Off_C Off_D OS2
2020-13,A69-1602-8664,5/22/2020 14:09,4599.47,5917.38,5.0,34.407359,-119.553564,6,3.4,,,,,In_B In_C Off_B Off_C OS2,In_B In_C Off_B Off_C OS2
2020-13,A69-1602-8664,5/22/2020 14:11,4607.95,5920.45,5.0,34.407387,-119.553472,2,4.1,,,,,In_B In_C In_D In_E Off_A Off_B Off_C OS2,In_C Off_B Off_C OS2
2020-13,A69-1602-8664,5/22/2020 14:12,4593.15,5926.5,5.0,34.407441,-119.553633,2,4.2,,,,,In_C In_D Off_D OS2,In_C In_D Off_D OS2
2020-13,A69-1602-8664,5/22/2020 14:16,4600.73,5926.08,5.0,34.407437,-119.553551,9,3.3,,,,,In_B In_C In_D Off_B Off_C Off_D OS1 OS2,In_C In_D Off_B Off_C Off_D OS2
2020-13,A69-1602-8664,5/22/2020 14:17,4614.88,5923.82,5.0,34.407417,-119.553397,1,4.4,,,,,In_C In_D Off_C OS2,In_C Off_C OS2
2020-13,A69-1602-8664,5/22/2020 14:19,4635.24,5928.03,5.0,34.407455,-119.553175,12,3.3,,,,,In_B In_C Off_B Off_C Off_D OS2,In_B In_C Off_B Off_C Off_D OS2
2020-13,A69-1602-8664,5/22/2020 14:21,4724.86,5885.8,5.0,34.407074,-119.552201,7,4.4,,,,,In_C Off_B Off_C Off_D OS2,In_C Off_B Off_C Off_D OS2
2020-13,A69-1602-8664,5/22/2020 14:23,4698.91,5861.55,5.0,34.406856,-119.552483,12,3.2,,,,,In_C In_D In_E Off_C Off_D Off_E OS2,In_C In_D Off_C Off_D Off_E OS2
2020-13,A69-1602-8664,5/22/2020 14:26,4688.76,5843.05,5.0,34.406689,-119.552593,4,3.8,,,,,In_C Off_C Off_D OS2,In_C Off_C Off_D OS2
2020-13,A69-1602-8664,5/22/2020 14:28,4693.78,5838.39,5.0,34.406647,-119.552539,7,3.2,,,,,In_C In_D Off_C Off_D OS2,In_C In_D Off_C Off_D OS2
2020-13,A69-1602-8664,5/22/2020 14:31,4691.15,5840.64,5.0,34.406667,-119.552567,4,3.7,,,,,In_C In_D Off_B Off_C OS2,In_C In_D Off_B Off_C OS2
2020-13,A69-1602-8664,5/22/2020 14:34,4694.94,5844.74,5.0,34.406704,-119.552526,7,3.2,,,,,In_C In_D Off_C Off_D OS2,In_C In_D Off_C Off_D OS2
2020-13,A69-1602-8664,5/22/2020 14:37,4692.57,5845.37,5.0,34.40671,-119.552552,12,3.1,,,,,In_B In_C In_D Off_C Off_D Off_E OS2,In_C In_D Off_C Off_D Off_E OS2
2020-13,A69-1602-8664,5/22/2020 14:39,4698.36,5831.34,5.0,34.406583,-119.552489,7,3.1,,,,,In_C In_D Off_C Off_D OS2,In_C In_D Off_C Off_D OS2
2020-13,A69-1602-8664,5/22/2020 14:42,4700.23,5846.53,5.0,34.40672,-119.552468,12,3.1,,,,,In_B In_C In_D Off_C Off_D Off_E OS2,In_C In_D Off_C Off_D Off_E OS2
2020-13,A69-1602-8664,5/22/2020 14:43,4708.35,5832.48,5.0,34.406594,-119.55238,11,3.1,,,,,In_B In_C In_D Off_A Off_B Off_C Off_D OS1 OS2,In_C In_D Off_B Off_C Off_D OS2
2020-13,A69-1602-8664,5/22/2020 14:46,4712.65,5828.62,5.0,34.406559,-119.552333,11,3.1,,,,,In_B In_C In_D Off_B Off_C Off_D OS2,In_C In_D Off_B Off_C Off_D OS2
2020-13,A69-1602-8664,5/22/2020 14:47,4702.08,5829.51,5.0,34.406567,-119.552448,3,3.4,,,,,In_B In_C In_D Off_D OS2,In_B In_C In_D Off_D OS2
2020-13,A69-1602-8664,5/22/2020 14:49,4713.42,5822.29,5.0,34.406502,-119.552325,12,3.0,,,,,In_B In_C In_D Off_B Off_C Off_D Off_E OS2,In_C In_D Off_C Off_D Off_E OS2
2020-13,A69-1602-8664,5/22/2020 14:52,4708.35,5832.48,5.0,34.406594,-119.55238,5,3.6,,,,,In_C In_D Off_D Off_E OS2,In_C In_D Off_D Off_E OS2
2020-13,A69-1602-8664,5/22/2020 14:56,4715.12,5824.25,5.0,34.406519,-119.552306,11,3.0,,,,,In_B In_C In_D Off_C Off_D OS2,In_B In_C In_D Off_C Off_D OS2
2020-13,A69-1602-8664,5/22/2020 14:59,4717.38,5826.8,5.0,34.406542,-119.552282,11,3.1,,,,,In_C In_D Off_B Off_C Off_D OS1 OS2,In_C In_D Off_B Off_C Off_D OS2
2020-13,A69-1602-8664,5/22/2020 15:02,4714.98,5826.42,5.0,34.406539,-119.552308,9,3.0,,,,,In_C In_D In_E Off_C Off_D OS2,In_C In_D In_E Off_C Off_D OS2
2020-13,A69-1602-8664,5/22/2020 15:04,4704.55,5823.3,5.0,34.406511,-119.552421,9,3.3,,,,,In_B In_C Off_C Off_D Off_E OS2,In_B In_C Off_C Off_D Off_E OS2
2020-13,A69-1602-8664,5/22/2020 15:05,4703.95,5835.74,5.0,34.406623,-119.552428,11,3.0,,,,,In_B In_C In_D Off_C Off_D OS2,In_B In_C In_D Off_C Off_D OS2
2020-13,A69-1602-8664,5/22/2020 15:07,4707.34,5843.42,5.0,34.406692,-119.552391,7,3.2,,,,,In_C In_D Off_C Off_D OS2,In_C In_D Off_C Off_D OS2
2020-13,A69-1602-8664,5/22/2020 15:09,4697.51,5832.36,5.0,34.406592,-119.552498,11,3.1,,,,,In_B In_C In_D Off_B Off_C Off_D OS2,In_C In_D Off_B Off_C Off_D OS2
2020-13,A69-1602-8664,5/22/2020 15:12,4702.36,5845.52,5.0,34.406711,-119.552445,11,3.0,,,,,In_B In_C In_D Off_C Off_D OS2,In_B In_C In_D Off_C Off_D OS2
2020-13,A69-1602-8664,5/22/2020 15:17,4703.17,5834.2,5.0,34.406609,-119.552436,7,3.2,,,,,In_C In_D Off_C Off_D OS2,In_C In_D Off_C Off_D OS2
2020-13,A69-1602-8664,5/22/2020 15:22,4709.5,5853.17,5.0,34.40678,-119.552368,7,3.3,,,,,In_C In_D Off_C Off_D OS2,In_C In_D Off_C Off_D OS2
2020-13,A69-1602-8664,5/22/2020 15:23,4706.6,5855.46,5.0,34.406801,-119.552399,11,3.0,,,,,In_B In_C In_D Off_C Off_D OS2,In_B In_C In_D Off_C Off_D OS2
