TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX,geometry
2020-13,A69-1602-8664,2020-05-30 19:12:00,3809.45,6235.78,5.0,34.410229,-119.562157,7,2.6,,,,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1,POINT (-119.562157 34.410229)
2020-13,A69-1602-8664,2020-05-30 19:15:00,3668.09,6339.52,5.0,34.411164,-119.563695,6,2.6,,,,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1,POINT (-119.563695 34.411164)
2020-13,A69-1602-8664,2020-05-30 19:18:00,3672.48,6500.75,5.0,34.412617,-119.563648,3,3.4,,,,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1,POINT (-119.563648 34.412617)
2020-13,A69-1602-8664,2020-05-30 19:21:00,3583.82,6446.17,5.0,34.412125,-119.564612,7,2.7,,,,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1,POINT (-119.564612 34.412125)
2020-13,A69-1602-8664,2020-05-30 19:24:00,3524.95,6444.1,5.0,34.412106,-119.565252,4,3.0,,,,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1,POINT (-119.565252 34.412106)
2020-13,A69-1602-8664,2020-05-30 19:26:00,3395.83,6440.39,5.0,34.412072,-119.566657,4,4.2,,,,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1,POINT (-119.566657 34.412072)
2020-13,A69-1602-8664,2020-05-30 19:28:00,3294.53,6356.04,5.0,34.411312,-119.567758,3,6.4,,,,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1,POINT (-119.567758 34.411312)
2020-13,A69-1602-8664,2020-05-30 19:30:00,3341.86,6296.56,5.0,34.410776,-119.567243,11,4.5,,,,,In_A In_B Off_A Off_B Off_C OS1,In_A In_B Off_A Off_B Off_C OS1,POINT (-119.567243 34.410776)
2020-13,A69-1602-8664,2020-05-30 19:31:00,3384.36,6260.56,5.0,34.410451,-119.566781,1,5.1,,,,,In_A Off_A OS1,In_A Off_A OS1,POINT (-119.566781 34.410451)
2020-13,A69-1602-8664,2020-05-30 19:32:00,3322.15,6209.36,5.0,34.40999,-119.567458,1,8.3,,,,,In_A Off_A OS1,In_A Off_A OS1,POINT (-119.567458 34.40999)
2020-13,A69-1602-8664,2020-05-30 19:34:00,3236.12,6240.18,5.0,34.410267,-119.568393,2,9.3,,,,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1,POINT (-119.568393 34.410267)
