TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX
2020-15,A69-9001-4326,8/14/2020 9:16,3502.92,6031.8,5.0,34.408389,-119.565491,1,6.5,,,,,Off_A Off_B OS1,Off_A Off_B OS1
2020-15,A69-9001-4326,8/14/2020 9:20,3646.51,5893.04,5.0,34.407139,-119.563929,1,6.4,,,,,Off_A Off_B OS1,Off_A Off_B OS1
2020-15,A69-9001-4326,8/14/2020 9:22,3709.95,5847.63,5.0,34.406729,-119.563239,1,8.0,,,,,Off_A Off_B OS1,Off_A Off_B OS1
2020-15,A69-9001-4326,8/14/2020 9:27,3899.39,5753.86,5.0,34.405884,-119.561179,1,7.2,,,,,In_B Off_B Off_C,In_B Off_B Off_C
2020-15,A69-9001-4326,8/14/2020 9:29,3990.09,5688.21,5.0,34.405293,-119.560192,1,6.8,,,,,In_B Off_B Off_C,In_B Off_B Off_C
2020-15,A69-9001-4326,8/14/2020 9:38,4323.16,5442.41,5.0,34.403077,-119.556569,1,5.4,,,,,In_C Off_C Off_D,In_C Off_C Off_D
2020-15,A69-9001-4326,8/14/2020 9:45,4586.79,5285.71,5.0,34.401665,-119.553702,1,3.5,,,,,Off_D Off_E OS2,Off_D Off_E OS2
2020-15,A69-9001-4326,8/14/2020 9:50,4828.52,5224.01,5.0,34.401108,-119.551073,2,5.0,,,,,In_D In_D_2 Off_D OS2,In_D In_D_2 Off_D OS2
2020-15,A69-9001-4326,8/14/2020 9:53,4885.4,5136.17,5.0,34.400317,-119.550454,3,3.4,,,,,In_D In_D_2 Off_D Off_E,In_D In_D_2 Off_D Off_E
2020-15,A69-9001-4326,8/14/2020 9:57,4978.12,4956.39,5.0,34.398696,-119.549446,4,2.8,,,,,In_D In_E Off_F PB,In_D In_E Off_F PB
2020-15,A69-9001-4326,8/14/2020 10:00,5073.75,4888.0,5.0,34.398079,-119.548406,1,2.8,,,,,In_E Off_F PB,In_E Off_F PB
2020-15,A69-9001-4326,8/14/2020 10:02,5109.57,4817.38,5.0,34.397443,-119.548016,1,5.8,,,,,In_E Off_E PB,In_E Off_E PB
2020-15,A69-9001-4326,8/14/2020 11:07,4793.66,5039.92,5.0,34.399449,-119.551452,1,5.4,,,,,Off_D Off_E OS2 PB,Off_D OS2 PB
2020-15,A69-9001-4326,8/14/2020 11:09,4860.05,5099.95,5.0,34.39999,-119.55073,7,3.1,,,,,In_D In_D_2 In_E Off_E PB,In_D In_D_2 In_E Off_E PB
2020-15,A69-9001-4326,8/14/2020 11:11,4920.69,5154.56,5.0,34.400482,-119.550071,8,3.2,,,,,In_D In_D_2 Off_D Off_E OS2,In_D In_D_2 Off_D Off_E OS2
2020-15,A69-9001-4326,8/14/2020 11:15,5033.1,5079.99,5.0,34.39981,-119.548848,17,2.4,,,,,In_D In_D_2 In_E Off_E Off_F OS2 PB,In_D In_E Off_E Off_F OS2 PB
2020-15,A69-9001-4326,8/14/2020 11:17,5067.64,5001.41,5.0,34.399102,-119.548472,15,2.5,,,,,In_D In_D_2 In_E In_F Mid_A Off_E Off_F PB,In_D In_E In_F Mid_A Off_F PB
2020-15,A69-9001-4326,8/14/2020 11:18,5051.89,4952.22,5.0,34.398658,-119.548644,6,2.8,,,,,In_E In_F Mid_A Off_F PB,In_E In_F Mid_A Off_F PB
