TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX,geometry,TIMEDELTA,speed,prev_pt,direction,turning_angle,state
2020-20,A69-9006-7853,5/21/2020 16:33,4231.34,6249.05,-0.303,34.410349,-119.557569,2,4.9,,,-0.3033,,In_B In_C Off_B Off_C,In_B In_C Off_B Off_C,POINT (-119.557569 34.410349),0 days 00:00:00,0.9232004762683794,,260.914743960899,0.0,6
2020-20,A69-9006-7853,5/21/2020 16:35,4121.9,6231.74,3.335,34.410192,-119.558759,10,2.7,,,3.3351,,In_A In_B In_C Off_B Off_C OS1,In_A In_B In_C Off_B Off_C OS1,POINT (-119.558759 34.410192),0 days 00:02:00,0.9232004762683794,POINT (-119.557569 34.410349),260.914743960899,54.455451155596336,5
2020-20,A69-9006-7853,5/21/2020 16:37,4058.05,6296.02,3.942,34.410772,-119.559453,3,3.2,,,3.9415,,In_B Off_A Off_B OS1,In_B Off_A Off_B OS1,POINT (-119.559453 34.410772),0 days 00:02:00,0.7551040602836198,POINT (-119.558759 34.410192),315.3701951164953,26.507872906746627,5
2020-20,A69-9006-7853,5/21/2020 16:38,4044.86,6336.29,1.971,34.411135,-119.559597,6,3.1,,,1.9707,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1,POINT (-119.559597 34.411135),0 days 00:01:00,0.7064671592834374,POINT (-119.559453 34.410772),341.87806802324195,-21.375286632583766,2
2020-20,A69-9006-7853,5/21/2020 16:42,3941.59,6461.04,0.0,34.412259,-119.56072,1,8.2,,,-0.0001,,In_A Off_A Off_B OS1,In_A Off_A Off_B,POINT (-119.56072 34.412259),0 days 00:04:00,0.6745098449283025,POINT (-119.559597 34.411135),320.5027813906582,-41.76345537460725,2
2020-20,A69-9006-7853,5/21/2020 16:43,3897.41,6467.81,0.0,34.41232,-119.561201,1,7.4,,,-0.0001,,In_A Off_A Off_B OS1,In_A Off_A Off_B,POINT (-119.561201 34.41232),0 days 00:01:00,0.7455994961250274,POINT (-119.56072 34.412259),278.73932601605094,12.355768143423745,5
2020-20,A69-9006-7853,5/21/2020 16:48,3700.41,6543.45,-0.455,34.413002,-119.563344,1,4.3,,,-0.4549,,In_A Off_A OS1,In_A Off_A OS1,POINT (-119.563344 34.413002),0 days 00:05:00,0.7034809184142716,POINT (-119.561201 34.41232),291.0950941594747,-11.270843887318733,5
2020-20,A69-9006-7853,5/21/2020 16:49,3654.05,6551.46,-0.303,34.413074,-119.563848,4,3.7,,,-0.3033,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1,POINT (-119.563848 34.413074),0 days 00:01:00,0.783644810042416,POINT (-119.563344 34.413002),279.82425027215595,-11.032686648125889,5
2020-20,A69-9006-7853,5/21/2020 16:50,3595.94,6550.29,-0.303,34.413063,-119.56448,4,3.5,,,-0.3033,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1,POINT (-119.56448 34.413063),0 days 00:01:00,0.9685977096628959,POINT (-119.563848 34.413074),268.79156362403006,15.263664351415173,5
2020-20,A69-9006-7853,5/21/2020 16:57,3398.76,6599.37,-0.303,34.413506,-119.566625,3,13.7,,,-0.3033,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1,POINT (-119.566625 34.413506),0 days 00:07:00,0.48388410863275044,POINT (-119.56448 34.413063),284.05522797544523,-73.00600118457743,2
2020-20,A69-9006-7853,5/21/2020 17:16,3257.27,6365.46,-0.455,34.411397,-119.568164,1,8.8,,,-0.4549,,In_A Off_A OS1,In_A Off_A OS1,POINT (-119.568164 34.411397),0 days 00:19:00,0.23983221589640036,POINT (-119.566625 34.413506),211.0492267908678,-115.64801892331172,1
2020-20,A69-9006-7853,5/21/2020 17:18,3355.04,6356.31,-0.455,34.411314,-119.5671,3,5.0,,,-0.4549,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1,POINT (-119.5671 34.411314),0 days 00:02:00,0.8187783428334475,POINT (-119.568164 34.411397),95.40120786755608,-40.21830296397741,6
2020-20,A69-9006-7853,5/21/2020 17:21,3428.63,6407.11,2.122,34.411773,-119.5663,1,4.1,,,2.1223,,In_A Off_A OS1,In_A Off_A OS1,POINT (-119.5663 34.411773),0 days 00:03:00,0.4969676339274305,POINT (-119.5671 34.411314),55.182904903578674,3.285940642892456,5
2020-20,A69-9006-7853,5/21/2020 17:22,3473.32,6434.47,0.0,34.412019,-119.565814,4,3.3,,,-0.0001,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1,POINT (-119.565814 34.412019),0 days 00:01:00,0.8725886166528726,POINT (-119.5663 34.411773),58.46884554647113,10.307248304533971,5
2020-20,A69-9006-7853,5/21/2020 17:23,3511.15,6449.14,-0.152,34.412151,-119.565402,4,3.1,,,-0.1517,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1,POINT (-119.565402 34.412151),0 days 00:01:00,0.6768254516875658,POINT (-119.565814 34.412019),68.7760938510051,0.28702168964844077,5
2020-20,A69-9006-7853,5/21/2020 17:27,3667.06,6508.37,0.303,34.412686,-119.563707,3,3.5,,,0.3031,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1,POINT (-119.563707 34.412686),0 days 00:04:00,0.6947914119451611,POINT (-119.565402 34.412151),69.06311554065354,5.718189633938039,5
2020-20,A69-9006-7853,5/21/2020 17:28,3699.38,6517.22,0.152,34.412765,-119.563355,2,3.4,,,0.1515,,In_A In_B Off_A OS1,In_A In_B Off_A OS1,POINT (-119.563355 34.412765),0 days 00:01:00,0.5587818033150309,POINT (-119.563707 34.412686),74.78130517459158,38.34446205258104,5
2020-20,A69-9006-7853,5/21/2020 17:34,3933.13,6417.74,-0.455,34.411869,-119.560812,1,5.8,,,-0.4549,,In_B Off_B OS1,In_B Off_B OS1,POINT (-119.560812 34.411869),0 days 00:06:00,0.7056775709739582,POINT (-119.563355 34.412765),113.12576722717262,-32.26223312245514,2
2020-20,A69-9006-7853,5/21/2020 17:36,4007.98,6429.72,0.152,34.411977,-119.559998,1,5.8,,,0.1515,,In_B Off_B OS1,In_B Off_B OS1,POINT (-119.559998 34.411977),0 days 00:02:00,0.6315764658527401,POINT (-119.560812 34.411869),80.86353410471747,22.28004259064255,5
2020-20,A69-9006-7853,5/21/2020 17:38,4070.48,6415.18,0.0,34.411846,-119.559318,2,4.7,,,-0.0001,,In_B In_C Off_B OS1,In_B In_C Off_B OS1,POINT (-119.559318 34.411846),0 days 00:02:00,0.5348626511101432,POINT (-119.559998 34.411977),103.14357669536003,16.386486803843127,5
2020-20,A69-9006-7853,5/21/2020 17:42,4242.26,6318.3,-0.455,34.410973,-119.55745,1,5.4,,,-0.4549,,In_B In_C Off_B OS1,In_C Off_B OS1,POINT (-119.55745 34.410973),0 days 00:04:00,0.8215034058814032,POINT (-119.559318 34.411846),119.53006349920315,-10.312733847008133,2
2020-20,A69-9006-7853,5/21/2020 17:45,4326.67,6289.08,-0.303,34.410709,-119.556532,1,12.4,,,-0.3033,,In_B In_C Off_A OS1,In_C Off_A OS1,POINT (-119.556532 34.410709),0 days 00:03:00,0.49630701941217464,POINT (-119.55745 34.410973),109.21732965219502,158.9992067997553,1
2020-20,A69-9006-7853,5/21/2020 17:49,4194.21,6284.9,0.0,34.410672,-119.557972,2,12.5,,,-0.0001,,In_B Off_A Off_B OS1,In_B Off_A Off_B OS1,POINT (-119.557972 34.410672),0 days 00:04:00,0.5518918860666003,POINT (-119.556532 34.410709),268.21653645195033,52.35167708906795,0
2020-20,A69-9006-7853,5/21/2020 17:51,4137.49,6353.73,0.0,34.411292,-119.55859,1,5.2,,,-0.0001,,In_B Off_B OS1,In_B Off_B OS1,POINT (-119.55859 34.411292),0 days 00:02:00,0.7434164611048232,POINT (-119.557972 34.410672),320.5682135410183,-26.092197522886636,2
2020-20,A69-9006-7853,5/21/2020 17:52,4096.08,6372.5,-0.303,34.411461,-119.55904,1,4.9,,,-0.3033,,In_B Off_B OS1,In_B Off_B OS1,POINT (-119.55904 34.411461),0 days 00:01:00,0.7570173486848516,POINT (-119.55859 34.411292),294.47601601813165,-0.5359081038965314,5
2020-20,A69-9006-7853,5/21/2020 17:53,4064.46,6386.43,-0.303,34.411587,-119.559384,1,4.8,,,-0.3033,,In_B Off_B OS1,In_B Off_B OS1,POINT (-119.559384 34.411587),0 days 00:01:00,0.5762868169922488,POINT (-119.55904 34.411461),293.9401079142351,28.7493961911249,5
2020-20,A69-9006-7853,5/21/2020 17:54,4025.49,6437.39,0.0,34.412046,-119.559808,5,3.8,,,-0.0001,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1,POINT (-119.559808 34.412046),0 days 00:01:00,1.0687541151678468,POINT (-119.559384 34.411587),322.68950410536,-52.439150706604096,2
2020-20,A69-9006-7853,5/21/2020 17:56,3948.93,6437.68,-0.455,34.412049,-119.560641,2,5.3,,,-0.4549,,In_B Off_A Off_B OS1,In_B Off_A Off_B OS1,POINT (-119.560641 34.412049),0 days 00:02:00,0.6381973433495688,POINT (-119.559808 34.412046),270.2503533987559,10.122115685541985,5
