Unnamed: 0,TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX
36361,2020-21,A69-9006-7849,6/22/2020 12:53,3496.11,6577.22,0.606,34.413306,-119.565566,3,5.3,,,0.6063,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1
37280,2020-21,A69-9006-7849,6/22/2020 13:41,3543.85,6628.55,0.758,34.413769,-119.565047,4,8.4,,,0.7579,,In_A Off_A Off_B Off_C OS1,In_A Off_A Off_B Off_C OS1
40483,2020-21,A69-9006-7849,6/22/2020 13:51,3965.07,6463.89,1.364,34.412285,-119.560465,2,5.9,,,1.3643,,In_B Off_A Off_B OS1,In_B Off_A Off_B OS1
40484,2020-21,A69-9006-7849,6/22/2020 14:00,3929.92,6510.58,1.364,34.412706,-119.560847,6,3.5,,,1.3643,,In_A In_B In_C Off_A Off_B OS1,In_A In_B In_C Off_A Off_B
40485,2020-21,A69-9006-7849,6/22/2020 14:07,3857.67,6520.72,1.364,34.412797,-119.561633,5,3.6,,,1.3643,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1
41238,2020-21,A69-9006-7849,6/22/2020 12:46,3834.9,6552.69,1.516,34.413085,-119.561881,1,5.3,,,1.5159,,In_A In_B Off_B OS1,In_A In_B Off_B
41939,2020-21,A69-9006-7849,6/22/2020 12:48,3724.22,6595.71,1.668,34.413473,-119.563085,3,4.9,,,1.6675,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1
41940,2020-21,A69-9006-7849,6/22/2020 13:28,3761.15,6572.45,1.668,34.413263,-119.562683,5,3.6,,,1.6675,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1
41941,2020-21,A69-9006-7849,6/22/2020 14:41,4704.42,5893.03,1.668,34.407139,-119.552423,13,3.5,,,1.6675,,In_B In_C In_D Off_B Off_C Off_D OS2,In_B In_C Off_B Off_C Off_D OS2
41942,2020-21,A69-9006-7849,6/22/2020 15:50,3500.4,6588.93,1.668,34.413412,-119.56552,2,7.8,,,1.6675,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1
42601,2020-21,A69-9006-7849,6/22/2020 12:47,3805.99,6569.41,1.819,34.413236,-119.562196,5,3.8,,,1.8191,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1
42602,2020-21,A69-9006-7849,6/22/2020 12:56,3665.78,6527.85,1.819,34.412861,-119.563721,1,3.8,,,1.8191,,In_A In_B Off_A,In_A In_B Off_A
42603,2020-21,A69-9006-7849,6/22/2020 13:40,3607.59,6596.99,1.819,34.413485,-119.564354,1,4.5,,,1.8191,,In_A Off_A OS1,In_A Off_A OS1
42604,2020-21,A69-9006-7849,6/22/2020 13:50,3890.98,6484.64,1.819,34.412472,-119.561271,4,3.6,,,1.8191,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B
42605,2020-21,A69-9006-7849,6/22/2020 14:01,3995.84,6443.19,1.819,34.412098,-119.56013,8,3.2,,,1.8191,,In_A In_B In_C Off_A Off_B OS1,In_A In_B In_C Off_A Off_B OS1
42606,2020-21,A69-9006-7849,6/22/2020 14:42,4639.96,5913.89,1.819,34.407327,-119.553124,15,3.3,,,1.8191,,In_B In_C Off_B Off_C Off_D OS1 OS2,In_B Off_B Off_C Off_D OS1 OS2
42607,2020-21,A69-9006-7849,6/22/2020 15:25,4297.35,6244.29,1.819,34.410306,-119.556851,3,4.6,,,1.8191,,In_B In_C Off_B Off_C,In_B In_C Off_B Off_C
42608,2020-21,A69-9006-7849,6/22/2020 15:26,4216.28,6313.67,1.819,34.410931,-119.557733,8,3.9,,,1.8191,,In_B In_C Off_A Off_B Off_C OS1,In_B In_C Off_A Off_B Off_C OS1
43264,2020-21,A69-9006-7849,6/22/2020 12:39,3881.94,6449.52,1.971,34.412155,-119.561369,1,4.2,,,1.9707,,In_A In_B Off_B OS1,In_A In_B Off_B
43265,2020-21,A69-9006-7849,6/22/2020 13:06,3916.21,6399.73,1.971,34.411707,-119.560996,1,5.6,,,1.9707,,In_B Off_A Off_B OS1,In_B Off_A Off_B
43266,2020-21,A69-9006-7849,6/22/2020 15:51,3585.42,6607.83,1.971,34.413582,-119.564595,7,3.8,,,1.9707,,In_A In_B In_C Off_A Off_B,In_A In_B In_C Off_A Off_B
43866,2020-21,A69-9006-7849,6/22/2020 12:51,3553.49,6546.85,2.122,34.413032,-119.564942,4,3.3,,,2.1223,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1
43867,2020-21,A69-9006-7849,6/22/2020 13:52,4007.17,6419.39,2.122,34.411884,-119.560007,10,3.3,,,2.1223,,In_A In_B In_C Off_B Off_C OS1,In_A In_B In_C Off_B Off_C OS1
43868,2020-21,A69-9006-7849,6/22/2020 14:02,4024.55,6360.36,2.122,34.411352,-119.559818,9,3.0,,,2.1223,,In_A In_B In_C Off_A Off_B Off_C OS1,In_A In_B Off_A Off_B Off_C OS1
43869,2020-21,A69-9006-7849,6/22/2020 14:06,3912.75,6480.3,2.122,34.412433,-119.561034,1,4.5,,,2.1223,,In_A In_B Off_B OS1,In_A In_B Off_B
43870,2020-21,A69-9006-7849,6/22/2020 14:10,3657.72,6572.58,2.122,34.413264,-119.563808,7,3.3,,,2.1223,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1
43871,2020-21,A69-9006-7849,6/22/2020 15:04,3270.93,6452.78,2.122,34.412184,-119.568015,1,16.1,,,2.1223,,In_A Off_A Off_B,In_A Off_A Off_B
43872,2020-21,A69-9006-7849,6/22/2020 15:55,3855.26,6494.27,2.122,34.412559,-119.561659,5,3.5,,,2.1223,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1
44445,2020-21,A69-9006-7849,6/22/2020 12:39,3867.59,6403.94,2.274,34.411745,-119.561525,8,3.0,,,2.2739,,In_A In_B Off_A Off_B Off_C OS1,In_A In_B Off_A Off_B Off_C
44446,2020-21,A69-9006-7849,6/22/2020 12:49,3656.58,6559.44,2.274,34.413146,-119.563821,7,3.2,,,2.2739,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1
44447,2020-21,A69-9006-7849,6/22/2020 12:54,3557.3,6538.76,2.274,34.41296,-119.564901,7,3.2,,,2.2739,,In_A Off_A Off_B Off_C OS1,In_A Off_A Off_B Off_C OS1
44448,2020-21,A69-9006-7849,6/22/2020 12:59,3791.56,6405.67,2.274,34.41176,-119.562352,3,3.2,,,2.2739,,In_A Off_A Off_B Off_C OS1,In_A Off_A Off_B Off_C OS1
44449,2020-21,A69-9006-7849,6/22/2020 13:15,3735.93,6526.05,2.274,34.412845,-119.562957,1,5.1,,,2.2739,,In_A In_B Off_B OS1,In_A In_B Off_B
44450,2020-21,A69-9006-7849,6/22/2020 13:16,3703.37,6550.44,2.274,34.413065,-119.563312,6,3.3,,,2.2739,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1
44451,2020-21,A69-9006-7849,6/22/2020 13:30,3830.78,6505.69,2.274,34.412662,-119.561926,5,3.4,,,2.2739,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1
44452,2020-21,A69-9006-7849,6/22/2020 13:39,3661.79,6552.32,2.274,34.413082,-119.563764,3,3.8,,,2.2739,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1
44453,2020-21,A69-9006-7849,6/22/2020 13:53,4023.86,6369.65,2.274,34.411436,-119.559826,8,3.4,,,2.2739,,In_B In_C Off_A Off_B Off_C OS1 OS2,In_B Off_A Off_B Off_C OS1 OS2
