TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX
2020-21,A69-9006-7849,5/21/2020 16:55,3430.49,6278.67,-0.607,34.410615,-119.566279,3,3.8,,,-0.6065,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1
2020-21,A69-9006-7849,5/21/2020 22:37,3463.08,6352.63,-0.607,34.411281,-119.565925,1,4.7,,,-0.6065,,In_A Off_A Off_B,In_A Off_A Off_B
2020-21,A69-9006-7849,5/21/2020 22:40,3600.71,6299.02,-0.607,34.410798,-119.564428,4,2.7,,,-0.6065,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1
2020-21,A69-9006-7849,5/21/2020 22:41,3651.97,6296.81,-0.607,34.410778,-119.56387,1,3.0,,,-0.6065,,In_A Off_A OS1,In_A Off_A OS1
2020-21,A69-9006-7849,5/21/2020 22:42,3681.41,6326.32,-0.607,34.411045,-119.56355,6,2.6,,,-0.6065,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1
2020-21,A69-9006-7849,5/21/2020 22:44,3785.0,6327.62,-0.607,34.411056,-119.562423,3,3.0,,,-0.6065,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1
2020-21,A69-9006-7849,5/21/2020 22:49,4007.47,6219.6,-0.607,34.410083,-119.560004,4,2.7,,,-0.6065,,In_B Off_B Off_C OS1,In_B Off_B Off_C OS1
2020-21,A69-9006-7849,5/21/2020 22:50,4065.41,6187.28,-0.607,34.409792,-119.559373,4,2.7,,,-0.6065,,In_B Off_B Off_C OS1,In_B Off_B Off_C OS1
2020-21,A69-9006-7849,5/21/2020 22:59,4369.64,6058.69,-0.607,34.408633,-119.556064,1,3.2,,,-0.6065,,In_B In_C Off_C,In_B In_C Off_C
2020-21,A69-9006-7849,5/21/2020 22:59,4406.3,6058.31,-0.607,34.408629,-119.555666,1,3.4,,,-0.6065,,In_B In_C Off_C,In_B In_C Off_C
2020-21,A69-9006-7849,5/21/2020 23:04,4492.69,6129.15,-0.607,34.409268,-119.554726,4,4.8,,,-0.6065,,In_B In_C Off_B Off_C,In_B In_C Off_B Off_C
2020-21,A69-9006-7849,5/21/2020 23:06,4422.66,6170.09,-0.607,34.409637,-119.555488,1,5.5,,,-0.6065,,In_B In_C Off_B,In_B In_C Off_B
2020-21,A69-9006-7849,5/21/2020 23:16,4159.07,6351.41,-0.607,34.411271,-119.558355,1,9.8,,,-0.6065,,In_B Off_A Off_B,In_B Off_A Off_B
2020-21,A69-9006-7849,5/21/2020 23:17,4130.44,6375.26,-0.607,34.411486,-119.558666,1,5.6,,,-0.6065,,In_B Off_B OS1,In_B Off_B OS1
2020-21,A69-9006-7849,5/21/2020 23:20,4052.29,6397.45,-0.607,34.411686,-119.559516,1,5.0,,,-0.6065,,In_B Off_B OS1,In_B Off_B OS1
2020-21,A69-9006-7849,5/21/2020 23:21,3994.89,6399.95,-0.607,34.411709,-119.560141,1,4.7,,,-0.6065,,In_B Off_B OS1,In_B Off_B OS1
2020-21,A69-9006-7849,5/21/2020 23:25,3959.64,6500.95,-0.607,34.412619,-119.560524,1,11.0,,,-0.6065,,In_B Off_B OS1,In_B Off_B OS1
2020-21,A69-9006-7849,5/21/2020 23:28,3854.44,6538.3,-0.607,34.412956,-119.561668,1,5.3,,,-0.6065,,In_A In_B Off_B OS1,In_A In_B Off_B
2020-21,A69-9006-7849,5/21/2020 23:35,3835.48,6604.32,-0.607,34.413551,-119.561875,1,6.4,,,-0.6065,,In_A In_B Off_B OS1,In_A In_B Off_B
2020-21,A69-9006-7849,5/21/2020 23:38,3856.61,6592.21,-0.607,34.413442,-119.561645,5,4.3,,,-0.6065,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1
2020-21,A69-9006-7849,5/21/2020 23:45,3899.6,6567.01,-0.607,34.413215,-119.561177,5,4.3,,,-0.6065,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1
2020-21,A69-9006-7849,5/21/2020 23:47,3911.45,6570.6,-0.607,34.413247,-119.561048,2,5.5,,,-0.6065,,In_A In_B Off_A OS1,In_A In_B Off_A OS1
2020-21,A69-9006-7849,5/21/2020 23:54,3955.1,6539.59,-0.607,34.412967,-119.560574,1,5.8,,,-0.6065,,In_A In_B Off_A OS1,In_A In_B Off_A
2020-21,A69-9006-7849,5/21/2020 23:55,3943.72,6543.74,-0.607,34.413005,-119.560697,2,5.5,,,-0.6065,,In_A In_B Off_B OS1,In_A In_B Off_B OS1
2020-21,A69-9006-7849,5/21/2020 23:56,3970.52,6535.99,-0.607,34.412935,-119.560406,2,8.8,,,-0.6065,,In_B Off_A Off_B OS1,In_B Off_A Off_B OS1
2020-21,A69-9006-7849,5/21/2020 23:57,3940.45,6548.8,-0.607,34.41305,-119.560733,2,5.6,,,-0.6065,,In_A In_B Off_B OS1,In_A In_B Off_B OS1
2020-21,A69-9006-7849,5/21/2020 16:50,3583.76,6381.04,-0.455,34.411538,-119.564612,7,2.6,,,-0.4549,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1
2020-21,A69-9006-7849,5/21/2020 23:19,4092.77,6401.71,-0.455,34.411725,-119.559076,2,4.5,,,-0.4549,,In_B In_C Off_B OS1,In_B In_C Off_B OS1
2020-21,A69-9006-7849,5/21/2020 23:31,3809.66,6621.07,-0.455,34.413702,-119.562156,1,8.0,,,-0.4549,,In_A Off_A OS1,In_A Off_A OS1
2020-21,A69-9006-7849,5/21/2020 16:49,3616.65,6407.64,-0.303,34.411778,-119.564255,4,2.8,,,-0.3033,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1
2020-21,A69-9006-7849,5/21/2020 22:46,3885.63,6281.92,-0.303,34.410645,-119.561329,3,2.9,,,-0.3033,,In_B Off_A Off_B OS1,In_B Off_A Off_B OS1
2020-21,A69-9006-7849,5/21/2020 23:12,4241.6,6264.87,-0.303,34.410491,-119.557457,5,3.7,,,-0.3033,,In_B In_C Off_B Off_C OS1,In_B In_C Off_B Off_C OS1
2020-21,A69-9006-7849,5/21/2020 23:03,4503.86,6098.74,-0.152,34.408994,-119.554604,1,11.8,,,-0.1517,,In_B Off_B Off_C,In_B Off_B Off_C
2020-21,A69-9006-7849,5/21/2020 22:58,4315.83,6052.75,0.152,34.408579,-119.556649,1,3.1,,,0.1515,,In_B In_C Off_C,In_B In_C Off_C
2020-21,A69-9006-7849,5/21/2020 16:43,3822.61,6430.74,0.303,34.411986,-119.562015,1,3.9,,,0.3031,,In_A In_B Off_A,In_A In_B Off_A
2020-21,A69-9006-7849,5/21/2020 16:48,3658.76,6417.5,1.668,34.411867,-119.563797,3,2.9,,,1.6675,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1
2020-21,A69-9006-7849,5/21/2020 22:43,3729.64,6329.18,1.819,34.41107,-119.563026,1,3.9,,,1.8191,,In_A Off_A Off_B,In_A Off_A Off_B
2020-21,A69-9006-7849,5/21/2020 16:48,3687.6,6392.77,3.184,34.411644,-119.563483,6,2.7,,,3.1835,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1
2020-21,A69-9006-7849,5/21/2020 16:45,3778.88,6387.24,3.638,34.411594,-119.56249,2,4.5,,,3.6383,,In_B Off_A Off_B OS1,In_B Off_A Off_B OS1
2020-21,A69-9006-7849,5/21/2020 23:01,4454.37,6066.68,3.942,34.408705,-119.555143,11,3.0,,,3.9415,,In_B In_C In_D Off_B Off_C Off_D,In_B In_C In_D Off_B Off_C Off_D
2020-21,A69-9006-7849,5/21/2020 22:55,4165.92,6060.5,4.093,34.408649,-119.55828,1,5.3,,,4.0931,,In_B Off_B OS1,In_B Off_B OS1
2020-21,A69-9006-7849,5/21/2020 16:42,3868.69,6419.2,5.154,34.411882,-119.561513,1,4.1,,,5.1543,,In_A In_B Off_B OS1,In_A In_B Off_B
