TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX,day,minutes,min_mod,Temp_C,DateTimeUTC,DateTimePT,month_name,hour,TOD,Night_Day,geometry
2020-21,A69-9006-7849,2020-06-25 07:02:00,4346.79,5595.94,-0.607,34.404461,-119.556312,1,3.4,,,0.0,,Off_C Off_D OS2,Off_C Off_D OS2,177,79622.0,422,20.50954628,6/25/2020 7:02,6/25/2020 0:02,June,0,night,night,POINT (-119.556312 34.404461)
2020-21,A69-9006-7849,2020-06-25 07:18:00,4751.14,5756.86,-0.607,34.405912,-119.551915,6,3.2,,,0.0,,In_C In_D Off_C Off_D OS2,In_C In_D Off_C Off_D OS2,177,79638.0,438,20.45449448,6/25/2020 7:18,6/25/2020 0:18,June,0,night,night,POINT (-119.551915 34.405912)
2020-21,A69-9006-7849,2020-06-25 07:26:00,4583.18,5782.1,-0.607,34.406139,-119.553741,4,2.8,,,0.0,,In_C Off_C Off_D OS2,In_C Off_C Off_D OS2,177,79646.0,446,20.42717171,6/25/2020 7:26,6/25/2020 0:26,June,0,night,night,POINT (-119.553741 34.406139)
2020-21,A69-9006-7849,2020-06-25 07:27:00,4569.31,5804.52,-0.607,34.406341,-119.553892,1,4.1,,,0.0,,In_C Off_C Off_D,In_C Off_C Off_D,177,79647.0,447,20.42373466,6/25/2020 7:27,6/25/2020 0:27,June,0,night,night,POINT (-119.553892 34.406341)
2020-21,A69-9006-7849,2020-06-25 07:28:00,4565.51,5802.39,-0.607,34.406322,-119.553934,2,2.9,,,0.0,,In_B In_C Off_C OS2,In_B In_C Off_C OS2,177,79648.0,448,20.42032051,6/25/2020 7:28,6/25/2020 0:28,June,0,night,night,POINT (-119.553934 34.406322)
2020-21,A69-9006-7849,2020-06-25 07:29:00,4561.37,5801.02,-0.607,34.40631,-119.553979,2,2.8,,,0.0,,In_C In_D Off_C OS2,In_C In_D Off_C OS2,177,79649.0,449,20.41690254,6/25/2020 7:29,6/25/2020 0:29,June,0,night,night,POINT (-119.553979 34.40631)
2020-21,A69-9006-7849,2020-06-25 07:30:00,4560.86,5814.42,-0.607,34.406431,-119.553984,4,2.8,,,0.0,,In_C Off_C Off_D OS2,In_C Off_C Off_D OS2,177,79650.0,450,20.41346931,6/25/2020 7:30,6/25/2020 0:30,June,0,night,night,POINT (-119.553984 34.406431)
2020-21,A69-9006-7849,2020-06-25 07:31:00,4549.97,5818.6,-0.607,34.406468,-119.554103,4,2.8,,,0.0,,In_C Off_C Off_D OS2,In_C Off_C Off_D OS2,177,79651.0,451,20.41004753,6/25/2020 7:31,6/25/2020 0:31,June,0,night,night,POINT (-119.554103 34.406468)
2020-21,A69-9006-7849,2020-06-25 07:32:00,4537.99,5808.14,-0.607,34.406374,-119.554233,4,2.7,,,0.0,,In_C Off_C Off_D OS2,In_C Off_C Off_D OS2,177,79652.0,452,20.40664101,6/25/2020 7:32,6/25/2020 0:32,June,0,night,night,POINT (-119.554233 34.406374)
2020-21,A69-9006-7849,2020-06-25 07:33:00,4539.68,5805.45,-0.607,34.40635,-119.554215,1,3.8,,,0.0,,In_C Off_C Off_D,In_C Off_C Off_D,177,79653.0,453,20.40322113,6/25/2020 7:33,6/25/2020 0:33,June,0,night,night,POINT (-119.554215 34.40635)
2020-21,A69-9006-7849,2020-06-25 07:36:00,4529.62,5809.54,-0.607,34.406387,-119.554324,1,3.8,,,0.0,,In_C Off_C Off_D,In_C Off_C Off_D,177,79656.0,456,20.39295769,6/25/2020 7:36,6/25/2020 0:36,June,0,night,night,POINT (-119.554324 34.406387)
2020-21,A69-9006-7849,2020-06-25 07:37:00,4521.58,5815.8,-0.607,34.406443,-119.554411,3,3.4,,,0.0,,In_B In_C Off_C Off_D,In_B In_C Off_C Off_D,177,79657.0,457,20.3895359,6/25/2020 7:37,6/25/2020 0:37,June,0,night,night,POINT (-119.554411 34.406443)
2020-21,A69-9006-7849,2020-06-25 07:40:00,4518.8,5826.04,-0.607,34.406535,-119.554442,1,3.8,,,0.0,,In_C Off_D OS2,In_C Off_D OS2,177,79660.0,460,20.37926102,6/25/2020 7:40,6/25/2020 0:40,June,0,night,night,POINT (-119.554442 34.406535)
2020-21,A69-9006-7849,2020-06-25 07:42:00,4501.08,5829.59,-0.607,34.406567,-119.554634,4,2.7,,,0.0,,In_C Off_C Off_D OS2,In_C Off_C Off_D OS2,177,79662.0,462,20.37242317,6/25/2020 7:42,6/25/2020 0:42,June,0,night,night,POINT (-119.554634 34.406567)
2020-21,A69-9006-7849,2020-06-25 07:46:00,4483.56,5837.45,-0.607,34.406638,-119.554825,14,2.5,,,0.0,,In_B In_C Off_B Off_C Off_D OS2,In_B In_C Off_B Off_C Off_D OS2,177,79666.0,466,20.35873985,6/25/2020 7:46,6/25/2020 0:46,June,0,night,night,POINT (-119.554825 34.406638)
2020-21,A69-9006-7849,2020-06-25 07:47:00,4486.32,5833.84,-0.607,34.406606,-119.554795,2,3.4,,,0.0,,In_B In_C Off_C Off_D,In_B In_C Off_C Off_D,177,79667.0,467,20.35531807,6/25/2020 7:47,6/25/2020 0:47,June,0,night,night,POINT (-119.554795 34.406606)
2020-21,A69-9006-7849,2020-06-25 07:49:00,4479.55,5843.14,-0.607,34.40669,-119.554869,7,2.6,,,0.0,,In_B In_C Off_C Off_D OS2,In_B In_C Off_C Off_D OS2,177,79669.0,469,20.3484745,6/25/2020 7:49,6/25/2020 0:49,June,0,night,night,POINT (-119.554869 34.40669)
2020-21,A69-9006-7849,2020-06-25 07:50:00,4476.73,5864.1,-0.607,34.406879,-119.554899,2,3.4,,,0.0,,In_B In_C Off_C Off_D,In_B In_C Off_C Off_D,177,79670.0,470,20.34503555,6/25/2020 7:50,6/25/2020 0:50,June,0,night,night,POINT (-119.554899 34.406879)
2020-21,A69-9006-7849,2020-06-25 07:51:00,4449.42,5870.48,-0.607,34.406936,-119.555196,4,2.8,,,0.0,,In_C Off_C Off_D OS2,In_C Off_C Off_D OS2,177,79671.0,471,20.34161949,6/25/2020 7:51,6/25/2020 0:51,June,0,night,night,POINT (-119.555196 34.406936)
2020-21,A69-9006-7849,2020-06-25 07:56:00,4322.8,5977.16,-0.607,34.407898,-119.556574,7,2.6,,,0.0,,In_B In_C Off_B Off_C Off_D,In_B In_C Off_B Off_C Off_D,177,79676.0,476,20.32447052,6/25/2020 7:56,6/25/2020 0:56,June,0,night,night,POINT (-119.556574 34.407898)
2020-21,A69-9006-7849,2020-06-25 07:58:00,4293.47,6014.78,-0.607,34.408237,-119.556893,4,2.7,,,0.0,,In_B In_C Off_B Off_C,In_B In_C Off_B Off_C,177,79678.0,478,20.31760597,6/25/2020 7:58,6/25/2020 0:58,June,0,night,night,POINT (-119.556893 34.408237)
2020-21,A69-9006-7849,2020-06-25 07:59:00,4256.82,6029.23,-0.607,34.408367,-119.557291,4,2.7,,,0.0,,In_B In_C Off_B Off_C,In_B In_C Off_B Off_C,177,79679.0,479,20.31418419,6/25/2020 7:59,6/25/2020 0:59,June,0,night,night,POINT (-119.557291 34.408367)
2020-21,A69-9006-7849,2020-06-25 07:53:00,4407.04,5887.97,-0.303,34.407094,-119.555657,14,2.5,,,0.0,,In_B In_C Off_B Off_C Off_D OS2,In_B In_C Off_B Off_C Off_D OS2,177,79673.0,473,20.33477592,6/25/2020 7:53,6/25/2020 0:53,June,0,night,night,POINT (-119.555657 34.407094)
2020-21,A69-9006-7849,2020-06-25 07:01:00,4347.52,5563.35,0.0,34.404167,-119.556304,7,2.7,,,0.0,,In_C Off_B Off_C Off_D OS2,In_C Off_B Off_C Off_D OS2,177,79621.0,421,20.51299286,6/25/2020 7:01,6/25/2020 0:01,June,0,night,night,POINT (-119.556304 34.404167)
2020-21,A69-9006-7849,2020-06-25 07:10:00,4516.67,5799.4,0.0,34.406295,-119.554465,13,2.5,,,0.0,,In_B In_C In_D Off_C Off_D OS2,In_B In_C In_D Off_C Off_D OS2,177,79630.0,430,20.48192406,6/25/2020 7:10,6/25/2020 0:10,June,0,night,night,POINT (-119.554465 34.406295)
2020-21,A69-9006-7849,2020-06-25 07:21:00,4710.86,5761.77,0.0,34.405956,-119.552353,1,6.5,,,0.0,,In_C Off_C Off_D,In_C Off_C Off_D,177,79641.0,441,20.44424248,6/25/2020 7:21,6/25/2020 0:21,June,0,night,night,POINT (-119.552353 34.405956)
2020-21,A69-9006-7849,2020-06-25 07:04:00,4362.22,5639.12,0.303,34.40485,-119.556145,1,3.8,,,0.3031,,In_C Off_C OS2,In_C Off_C OS2,177,79624.0,424,21.06575203,6/25/2020 7:04,6/25/2020 0:04,June,0,night,night,POINT (-119.556145 34.40485)
2020-21,A69-9006-7849,2020-06-25 07:08:00,4468.58,5763.95,0.91,34.405976,-119.554988,4,2.9,,,0.9095,,In_B In_C In_D Off_D OS2,In_B In_C In_D Off_D OS2,177,79628.0,428,18.65824127,6/25/2020 7:08,6/25/2020 0:08,June,0,night,night,POINT (-119.554988 34.405976)
2020-21,A69-9006-7849,2020-06-25 07:05:00,4380.5,5681.79,1.668,34.405235,-119.555946,15,2.5,,,1.6675,,In_B In_C Off_B Off_C Off_D OS2,In_B In_C Off_B Off_C Off_D OS2,177,79625.0,425,17.92545128,6/25/2020 7:05,6/25/2020 0:05,June,0,night,night,POINT (-119.555946 34.405235)
2020-21,A69-9006-7849,2020-06-25 07:15:00,4668.86,5772.36,1.668,34.406052,-119.55281,2,3.2,,,1.6675,,In_C In_D Off_D OS2,In_C In_D Off_D OS2,177,79635.0,435,17.94392586,6/25/2020 7:15,6/25/2020 0:15,June,0,night,night,POINT (-119.55281 34.406052)
2020-21,A69-9006-7849,2020-06-25 07:54:00,4370.75,5906.34,1.819,34.407259,-119.556052,14,2.5,,,1.8191,,In_B In_C Off_B Off_C Off_D OS2,In_B In_C Off_B Off_C Off_D OS2,177,79674.0,474,17.83520699,6/25/2020 7:54,6/25/2020 0:54,June,0,night,night,POINT (-119.556052 34.407259)
2020-21,A69-9006-7849,2020-06-25 07:11:00,4548.75,5800.41,1.971,34.406304,-119.554116,4,2.9,,,1.9707,,In_B In_C In_D Off_D OS2,In_B In_C In_D Off_D OS2,177,79631.0,431,17.56957436,6/25/2020 7:11,6/25/2020 0:11,June,0,night,night,POINT (-119.554116 34.406304)
2020-21,A69-9006-7849,2020-06-25 07:14:00,4639.17,5776.44,1.971,34.406088,-119.553132,7,2.7,,,1.9707,,In_C In_D Off_C Off_D OS2,In_C In_D Off_C Off_D OS2,177,79634.0,434,17.56955719,6/25/2020 7:14,6/25/2020 0:14,June,0,night,night,POINT (-119.553132 34.406088)
2020-21,A69-9006-7849,2020-06-25 07:07:00,4435.22,5736.16,2.426,34.405725,-119.555351,4,2.7,,,2.4255,,In_C In_D Off_C Off_D,In_C In_D Off_C Off_D,177,79627.0,427,16.85926056,6/25/2020 7:07,6/25/2020 0:07,June,0,night,night,POINT (-119.555351 34.405725)
2020-21,A69-9006-7849,2020-06-25 07:13:00,4614.09,5793.5,3.184,34.406242,-119.553405,4,2.9,,,3.1835,,In_C Off_C Off_D OS2,In_C Off_C Off_D OS2,177,79633.0,433,16.3789463,6/25/2020 7:13,6/25/2020 0:13,June,0,night,night,POINT (-119.553405 34.406242)
2020-21,A69-9006-7849,2020-06-25 07:06:00,4411.73,5711.58,5.154,34.405503,-119.555606,4,2.6,,,5.1543,,In_C Off_C Off_D OS2,In_C Off_C Off_D OS2,177,79626.0,426,16.30516243,6/25/2020 7:06,6/25/2020 0:06,June,0,night,night,POINT (-119.555606 34.405503)
2020-21,A69-9006-7849,2020-06-25 08:00:00,4229.95,6022.84,-0.607,34.408309,-119.557584,7,3.0,,,0.0,,In_B In_C Off_A Off_B OS1,In_B In_C Off_A Off_B OS1,177,79680.0,480,20.31078148,6/25/2020 8:00,6/25/2020 1:00,June,1,night,night,POINT (-119.557584 34.408309)
2020-21,A69-9006-7849,2020-06-25 08:00:00,4204.76,6013.04,-0.607,34.408221,-119.557858,14,2.5,,,0.0,,In_B In_C Off_B Off_C OS1 OS2,In_B In_C Off_B Off_C OS1 OS2,177,79680.0,480,20.31080055,6/25/2020 8:00,6/25/2020 1:00,June,1,night,night,POINT (-119.557858 34.408221)
2020-21,A69-9006-7849,2020-06-25 08:01:00,4176.37,6019.43,-0.607,34.408279,-119.558166,4,3.0,,,0.0,,In_B Off_B Off_C OS1,In_B Off_B Off_C OS1,177,79681.0,481,20.30738258,6/25/2020 8:01,6/25/2020 1:01,June,1,night,night,POINT (-119.558166 34.408279)
2020-21,A69-9006-7849,2020-06-25 08:02:00,4143.05,6022.46,-0.607,34.408306,-119.558529,4,2.8,,,0.0,,In_B Off_B Off_C OS1,In_B Off_B Off_C OS1,177,79682.0,482,20.30397415,6/25/2020 8:02,6/25/2020 1:02,June,1,night,night,POINT (-119.558529 34.408306)
2020-21,A69-9006-7849,2020-06-25 08:04:00,4064.73,6020.05,-0.607,34.408284,-119.559381,8,2.5,,,0.0,,In_B In_C Off_B Off_C OS1,In_B In_C Off_B Off_C OS1,177,79684.0,484,20.29716682,6/25/2020 8:04,6/25/2020 1:04,June,1,night,night,POINT (-119.559381 34.408284)
