TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX
2020-34,A69-1602-3237,8/4/2020 4:26,3619.08,6164.01,5.0,34.409581,-119.564228,1,3.2,,,,,Off_A Off_B OS1,Off_A Off_B OS1
2020-34,A69-1602-3237,8/4/2020 4:42,3920.32,5934.68,5.0,34.407514,-119.560951,1,5.0,,,,,In_B Off_B Off_C OS1,In_B Off_C OS1
2020-34,A69-1602-3237,8/4/2020 4:43,3964.23,5961.97,5.0,34.40776,-119.560474,1,3.1,,,,,In_B Off_B Off_C,In_B Off_B Off_C
2020-34,A69-1602-3237,8/4/2020 4:44,4014.32,6003.04,5.0,34.408131,-119.559929,1,4.3,,,,,In_B Off_B OS1,In_B Off_B OS1
2020-34,A69-1602-3237,8/4/2020 4:50,4145.58,5888.42,5.0,34.407098,-119.558501,4,2.7,,,,,In_B In_C Off_B Off_C,In_B In_C Off_B Off_C
2020-34,A69-1602-3237,8/4/2020 4:53,4263.18,5871.79,5.0,34.406948,-119.557222,1,3.2,,,,,In_B In_C Off_C,In_B In_C Off_C
2020-34,A69-1602-3237,8/4/2020 5:04,4428.45,5734.1,5.0,34.405707,-119.555424,1,3.1,,,,,In_C Off_C OS2,In_C Off_C OS2
2020-34,A69-1602-3237,8/4/2020 5:09,4570.2,5613.71,5.0,34.404621,-119.553883,4,2.8,,,,,In_C In_D Off_C Off_D,In_C In_D Off_C Off_D
2020-34,A69-1602-3237,8/4/2020 5:11,4598.59,5570.15,5.0,34.404229,-119.553574,3,2.9,,,,,In_D Off_C Off_D OS2,In_D Off_C Off_D OS2
2020-34,A69-1602-3237,8/4/2020 5:19,4837.07,5429.98,5.0,34.402965,-119.55098,1,3.3,,,,,In_D Off_D OS2,In_D Off_D OS2
2020-34,A69-1602-3237,8/4/2020 5:21,4907.34,5460.5,5.0,34.40324,-119.550216,1,2.9,,,,,In_D Off_E OS2,In_D Off_E OS2
2020-34,A69-1602-3237,8/4/2020 5:33,5089.7,5112.88,5.0,34.400107,-119.548232,1,3.6,,,,,In_E Mid_A Off_E,In_E Mid_A Off_E
2020-34,A69-1602-3237,8/4/2020 5:36,5061.27,5022.16,5.0,34.399289,-119.548542,3,3.3,,,,,Mid_A Off_E Off_F PB,Mid_A Off_E Off_F PB
2020-34,A69-1602-3237,8/4/2020 5:38,5083.48,4948.64,5.0,34.398626,-119.5483,8,2.5,,,,,In_E Mid_A Off_E Off_F PB,In_E Mid_A Off_E Off_F PB
2020-34,A69-1602-3237,8/4/2020 6:31,5278.63,4742.17,5.0,34.396765,-119.546178,2,3.8,,,,,In_E In_F Mid_A Off_F,In_E In_F Mid_A Off_F
2020-34,A69-1602-3237,8/4/2020 6:34,5315.64,4848.93,5.0,34.397727,-119.545775,2,2.7,,,,,In_E In_F Mid_A Off_F,In_E In_F Mid_A Off_F
2020-34,A69-1602-3237,8/4/2020 6:36,5324.17,4930.1,5.0,34.398459,-119.545683,3,2.6,,,,,In_E In_F Mid_A Off_F,In_E In_F Mid_A Off_F
2020-34,A69-1602-3237,8/4/2020 6:38,5304.82,5073.46,5.0,34.399751,-119.545893,15,2.5,,,,,In_D In_E In_F Mid_A Off_E Off_F,In_D In_E In_F Mid_A Off_E Off_F
2020-34,A69-1602-3237,8/4/2020 6:40,5258.08,5179.02,5.0,34.400703,-119.546401,2,3.3,,,,,In_D In_E In_F Off_E,In_D In_E In_F Off_E
2020-34,A69-1602-3237,8/4/2020 6:49,5301.68,5143.36,5.0,34.400381,-119.545927,12,2.8,,,,,In_D In_E In_F Mid_A Off_E Off_F,In_D In_E In_F Mid_A Off_E Off_F
2020-34,A69-1602-3237,8/4/2020 6:53,5154.05,5013.11,5.0,34.399207,-119.547533,9,2.5,,,,,In_D In_E Mid_A Off_E PB,In_D In_E Mid_A Off_E PB
2020-34,A69-1602-3237,8/4/2020 6:55,5059.11,4999.49,5.0,34.399084,-119.548565,9,2.5,,,,,In_E Mid_A Off_E Off_F PB,In_E Mid_A Off_E Off_F PB
