TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX
2020-35_2,A69-1602-8669,7/31/2020 17:04,4458.89,5873.14,5.0,34.40696,-119.555093,1,3.1,,,,,In_C Off_C OS2,In_C Off_C OS2
2020-35_2,A69-1602-8669,7/31/2020 17:07,4409.37,5727.57,5.0,34.405648,-119.555632,4,2.9,,,,,In_C Off_B Off_D OS2,In_C Off_B Off_D OS2
2020-35_2,A69-1602-8669,7/31/2020 17:10,4433.2,5610.24,5.0,34.40459,-119.555373,1,3.1,,,,,Off_C Off_D OS2,Off_C Off_D OS2
2020-35_2,A69-1602-8669,7/31/2020 17:14,4579.19,5447.5,5.0,34.403123,-119.553785,2,3.3,,,,,In_D Off_C Off_D OS2,In_D Off_C Off_D OS2
2020-35_2,A69-1602-8669,7/31/2020 17:17,4578.34,5299.61,5.0,34.40179,-119.553794,2,6.0,,,,,In_C In_D In_E Off_C,In_C In_D In_E Off_C
2020-35_2,A69-1602-8669,7/31/2020 17:21,4508.36,5118.91,5.0,34.400161,-119.554555,8,4.2,,,,,In_D Off_D Off_E Off_F OS2 PB,In_D Off_D Off_E Off_F OS2 PB
2020-35_2,A69-1602-8669,7/31/2020 19:39,5217.69,4657.72,5.0,34.396003,-119.546841,1,12.5,,,,,Mid_A Off_E Off_F PB,Mid_A Off_E PB
2020-35_2,A69-1602-8669,7/31/2020 19:42,5312.11,4727.18,5.0,34.39663,-119.545814,4,2.4,,,,,In_F Mid_A Off_F Off_G PB,In_F Mid_A Off_F Off_G PB
2020-35_2,A69-1602-8669,7/31/2020 19:43,5381.04,4762.02,5.0,34.396944,-119.545064,1,4.2,,,,,In_E In_F Mid_A Off_F,In_E In_F Off_F
2020-35_2,A69-1602-8669,7/31/2020 19:45,5474.88,4777.69,5.0,34.397085,-119.544044,2,3.7,,,,,In_E In_F Mid_A Mid_B Off_F,In_E In_F Mid_A Off_F
2020-35_2,A69-1602-8669,7/31/2020 19:53,5420.01,5071.89,5.0,34.399737,-119.54464,1,3.5,,,,,In_E In_F Off_F,In_E In_F Off_F
2020-35_2,A69-1602-8669,7/31/2020 19:55,5365.18,5192.47,5.0,34.400824,-119.545236,8,3.2,,,,,In_D In_E In_F Mid_A Off_E Off_F PB,In_D In_E In_F Mid_A Off_F PB
2020-35_2,A69-1602-8669,7/31/2020 20:16,4734.34,5867.06,5.0,34.406905,-119.552097,7,3.6,,,,,In_C In_D Off_C Off_D OS2,In_C In_D Off_C Off_D OS2
2020-35_2,A69-1602-8669,7/31/2020 20:19,4613.98,5834.18,5.0,34.406609,-119.553406,4,3.1,,,,,In_C Off_C Off_D OS2,In_C Off_C Off_D OS2
2020-35_2,A69-1602-8669,7/31/2020 20:25,4476.46,6114.23,5.0,34.409133,-119.554902,1,5.4,,,,,In_B In_C Off_C,In_B In_C Off_C
2020-35_2,A69-1602-8669,7/31/2020 20:41,3900.61,6559.3,5.0,34.413145,-119.561166,1,11.5,,,,,In_A Off_A OS1,In_A Off_A OS1
2020-35_2,A69-1602-8669,7/31/2020 20:42,3803.46,6542.36,5.0,34.412992,-119.562223,2,4.2,,,,,In_A In_B Off_A OS1,In_A In_B Off_A OS1
2020-35_2,A69-1602-8669,7/31/2020 21:15,3788.1,6383.44,5.0,34.41156,-119.56239,2,3.1,,,,,In_A In_B Off_A OS1,In_A In_B Off_A OS1
2020-35_2,A69-1602-8669,7/31/2020 21:19,3770.56,6507.43,5.0,34.412677,-119.562581,1,4.6,,,,,In_A Off_A OS1,In_A Off_A OS1
2020-35_2,A69-1602-8669,7/31/2020 21:29,3671.84,6270.12,5.0,34.410538,-119.563654,1,3.5,,,,,Off_A Off_B OS1,Off_A Off_B OS1
2020-35_2,A69-1602-8669,7/31/2020 21:39,4067.62,5913.3,5.0,34.407322,-119.559349,3,2.9,,,,,In_B Off_B Off_C OS1,In_B Off_B Off_C OS1
2020-35_2,A69-1602-8669,7/31/2020 21:42,4171.31,5963.56,5.0,34.407775,-119.558221,4,2.7,,,,,In_B In_C Off_B Off_C,In_B In_C Off_B Off_C
2020-35_2,A69-1602-8669,7/31/2020 21:43,4247.31,6017.39,5.0,34.40826,-119.557395,4,2.7,,,,,In_B In_C Off_B Off_C,In_B In_C Off_B Off_C
2020-35_2,A69-1602-8669,7/31/2020 21:46,4372.19,6024.52,5.0,34.408325,-119.556036,2,2.9,,,,,In_B In_C Off_C OS1,In_B In_C Off_C OS1
2020-35_2,A69-1602-8669,7/31/2020 21:54,4641.24,5836.82,5.0,34.406633,-119.55311,4,3.3,,,,,In_C Off_C Off_D OS2,In_C Off_C Off_D OS2
2020-35_2,A69-1602-8669,7/31/2020 21:57,4755.47,5756.96,5.0,34.405913,-119.551868,4,3.5,,,,,In_C In_D Off_D Off_E OS2,In_C In_D Off_D Off_E
2020-35_2,A69-1602-8669,7/31/2020 22:03,4821.25,5580.55,5.0,34.404322,-119.551152,3,3.4,,,,,In_D Off_D Off_E OS2,In_D Off_D Off_E OS2
2020-35_2,A69-1602-8669,7/31/2020 22:06,4928.99,5507.53,5.0,34.403664,-119.54998,1,3.8,,,,,In_D Off_D OS2,In_D Off_D OS2
2020-35_2,A69-1602-8669,7/31/2020 22:12,5193.54,5390.12,5.0,34.402606,-119.547103,1,4.3,,,,,In_D In_E Off_E,In_D In_E Off_E
2020-35_2,A69-1602-8669,7/31/2020 22:23,5526.45,5078.91,5.0,34.3998,-119.543483,1,4.2,,,,,In_E In_F Mid_A,In_E In_F Mid_A
2020-35_2,A69-1602-8669,7/31/2020 22:25,5587.78,5010.82,5.0,34.399186,-119.542816,1,4.3,,,,,In_E In_F Mid_A,In_E In_F Mid_A
2020-35_2,A69-1602-8669,7/31/2020 23:17,5639.5,4463.11,5.0,34.394249,-119.542254,1,9.7,,,,,In_F Mid_A Mid_B Off_G,In_F Mid_A Off_G
2020-35_2,A69-1602-8669,7/31/2020 23:22,5489.14,4463.18,5.0,34.39425,-119.543889,1,23.1,,,,,Mid_A Off_F Off_G,Mid_A Off_F Off_G
2020-35_2,A69-1602-8669,8/1/2020 4:40,5231.9,4598.0,5.0,34.395465,-119.546686,1,20.1,,,,,Mid_A Off_E Off_F PB,Mid_A Off_E PB
2020-35_2,A69-1602-8669,8/1/2020 4:50,5282.89,4926.66,5.0,34.398428,-119.546131,6,2.5,,,,,In_E In_F Mid_A Off_F PB,In_E In_F Mid_A Off_F PB
2020-35_2,A69-1602-8669,8/1/2020 4:51,5293.96,4964.44,5.0,34.398768,-119.546011,3,2.7,,,,,In_E In_F Mid_A Off_F,In_E In_F Mid_A Off_F
2020-35_2,A69-1602-8669,8/1/2020 4:52,5332.2,4978.82,5.0,34.398898,-119.545595,3,2.7,,,,,In_E In_F Mid_A Off_F,In_E In_F Mid_A Off_F
2020-35_2,A69-1602-8669,8/1/2020 4:54,5381.66,4991.35,5.0,34.399011,-119.545057,3,2.7,,,,,In_E In_F Mid_A Off_F,In_E In_F Mid_A Off_F
2020-35_2,A69-1602-8669,8/1/2020 5:03,5408.37,4757.59,5.0,34.396904,-119.544767,1,4.3,,,,,In_E In_F Mid_A Off_F,In_E In_F Off_F
2020-35_2,A69-1602-8669,8/1/2020 5:40,5716.32,4584.12,5.0,34.39534,-119.541418,1,3.0,,,,,CN In_F Mid_B,CN In_F Mid_B
