TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX
2020-35_2,A69-1602-8669,8/14/2020 7:02,4583.17,5310.95,5.0,34.401892,-119.553741,1,3.3,,,,,Off_D Off_E OS2,Off_D Off_E OS2
2020-35_2,A69-1602-8669,8/14/2020 7:04,4509.23,5304.02,5.0,34.401829,-119.554546,1,4.1,,,,,Off_C Off_D Off_E OS2,Off_C Off_E OS2
2020-35_2,A69-1602-8669,8/14/2020 7:16,4775.11,5390.94,5.0,34.402613,-119.551654,2,2.9,,,,,In_D In_D_2 Off_D Off_E,In_D In_D_2 Off_D Off_E
2020-35_2,A69-1602-8669,8/14/2020 7:20,4931.59,5382.15,5.0,34.402534,-119.549952,7,2.6,,,,,In_D In_D_2 In_E Off_E OS2,In_D In_D_2 In_E Off_E OS2
2020-35_2,A69-1602-8669,8/14/2020 7:22,5027.28,5381.8,5.0,34.402531,-119.548911,4,2.7,,,,,In_D In_D_2 In_E Off_E OS2,In_D In_D_2 In_E Off_E OS2
2020-35_2,A69-1602-8669,8/14/2020 7:23,5072.27,5381.24,5.0,34.402526,-119.548422,2,2.9,,,,,In_D In_D_2 In_E Off_E,In_D In_D_2 In_E Off_E
2020-35_2,A69-1602-8669,8/14/2020 7:26,5099.13,5317.88,5.0,34.401955,-119.54813,7,2.6,,,,,In_D In_D_2 In_E Off_E Off_F,In_D In_D_2 In_E Off_E Off_F
2020-35_2,A69-1602-8669,8/14/2020 7:29,5182.69,5210.94,5.0,34.400991,-119.547221,4,2.8,,,,,In_D In_E Off_E Off_F,In_D In_E Off_E Off_F
2020-35_2,A69-1602-8669,8/14/2020 7:32,5237.48,5202.55,5.0,34.400915,-119.546625,2,3.1,,,,,In_D In_D_2 In_E Off_E,In_D In_D_2 In_E Off_E
2020-35_2,A69-1602-8669,8/14/2020 7:38,5095.56,5276.42,5.0,34.401581,-119.548169,3,2.6,,,,,In_D In_D_2 In_E Off_E OS2,In_D In_D_2 In_E Off_E OS2
2020-35_2,A69-1602-8669,8/14/2020 7:40,5006.6,5282.76,5.0,34.401638,-119.549136,3,3.7,,,,,In_D In_D_2 Off_E OS2,In_D In_D_2 Off_E OS2
2020-35_2,A69-1602-8669,8/14/2020 7:45,4855.85,5257.34,5.0,34.401409,-119.550776,8,2.6,,,,,In_D In_E Off_D Off_E OS2,In_D In_E Off_D Off_E OS2
2020-35_2,A69-1602-8669,8/14/2020 7:47,4832.8,5214.89,5.0,34.401026,-119.551026,3,3.6,,,,,In_D In_D_2 In_E Off_D,In_D In_D_2 In_E Off_D
2020-35_2,A69-1602-8669,8/14/2020 7:51,4990.12,5146.89,5.0,34.400413,-119.549315,16,2.5,,,,,In_D In_D_2 In_E Off_E Off_F OS2 PB,In_D In_E Off_E Off_F OS2 PB
2020-35_2,A69-1602-8669,8/14/2020 7:59,5103.07,5300.13,5.0,34.401795,-119.548087,2,2.7,,,,,In_D In_D_2 In_E Off_E,In_D In_D_2 In_E Off_E
2020-35_2,A69-1602-8669,8/14/2020 8:04,4941.53,5330.79,5.0,34.402071,-119.549844,1,3.6,,,,,In_D Off_D Off_E,In_D Off_D Off_E
2020-35_2,A69-1602-8669,8/14/2020 8:08,4842.14,5327.04,5.0,34.402037,-119.550925,8,2.5,,,,,In_D In_D_2 Off_D Off_E OS2,In_D In_D_2 Off_D Off_E OS2
2020-35_2,A69-1602-8669,8/14/2020 8:10,4759.64,5339.08,5.0,34.402146,-119.551822,1,59.7,,,,,In_D In_D_2 Off_E,In_D In_D_2 Off_E
2020-35_2,A69-1602-8669,8/14/2020 8:11,4739.53,5344.22,5.0,34.402192,-119.552041,1,3.7,,,,,In_D Off_E OS2,In_D Off_E OS2
2020-35_2,A69-1602-8669,8/14/2020 8:12,4709.05,5364.52,5.0,34.402375,-119.552372,3,2.9,,,,,In_D In_D_2 Off_D Off_E,In_D In_D_2 Off_D Off_E
2020-35_2,A69-1602-8669,8/14/2020 8:17,4803.85,5471.92,5.0,34.403343,-119.551341,1,3.0,,,,,In_D Off_D OS2,In_D Off_D OS2
2020-35_2,A69-1602-8669,8/14/2020 8:20,4913.87,5509.06,5.0,34.403678,-119.550145,7,2.7,,,,,In_D In_D_2 Off_D Off_E OS2,In_D In_D_2 Off_D Off_E OS2
2020-35_2,A69-1602-8669,8/14/2020 8:29,4768.45,5558.4,5.0,34.404123,-119.551726,10,2.7,,,,,In_D In_D_2 Off_C Off_D Off_E OS2,In_D In_D_2 Off_C Off_D Off_E OS2
2020-35_2,A69-1602-8669,8/14/2020 8:31,4700.46,5527.41,5.0,34.403843,-119.552466,12,2.5,,,,,In_D In_D_2 Off_C Off_D Off_E OS2,In_D In_D_2 Off_C Off_D Off_E OS2
2020-35_2,A69-1602-8669,8/14/2020 8:32,4661.19,5510.31,5.0,34.403689,-119.552893,1,4.7,,,,,In_C Off_C Off_E,In_C Off_C Off_E
2020-35_2,A69-1602-8669,8/14/2020 8:37,4787.67,5444.96,5.0,34.4031,-119.551517,7,2.5,,,,,In_D In_D_2 Off_D Off_E OS2,In_D In_D_2 Off_D Off_E OS2
2020-35_2,A69-1602-8669,8/14/2020 8:38,4834.48,5447.42,5.0,34.403122,-119.551008,1,3.2,,,,,In_D Off_D OS2,In_D Off_D OS2
2020-35_2,A69-1602-8669,8/14/2020 8:50,5110.4,5254.38,5.0,34.401382,-119.548007,2,2.7,,,,,In_D In_D_2 In_E Off_E,In_D In_D_2 In_E Off_E
2020-35_2,A69-1602-8669,8/14/2020 8:57,5064.97,5154.56,5.0,34.400482,-119.548501,1,32.4,,,,,In_D In_D_2 In_E,In_D In_D_2 In_E
2020-35_2,A69-1602-8669,8/14/2020 8:59,5084.23,5025.07,5.0,34.399315,-119.548292,1,3.7,,,,,In_E Off_F PB,In_E Off_F PB
2020-35_2,A69-1602-8669,8/14/2020 9:09,5310.64,5078.84,5.0,34.3998,-119.54583,9,2.6,,,,,In_D In_D_2 In_E In_F Mid_A Off_F,In_D In_D_2 In_E In_F Mid_A Off_F
2020-35_2,A69-1602-8669,8/14/2020 9:11,5276.55,5000.76,5.0,34.399096,-119.5462,6,2.5,,,,,In_E In_F Mid_A Off_F PB,In_E In_F Mid_A Off_F PB
2020-35_2,A69-1602-8669,8/14/2020 9:19,5394.95,4906.73,5.0,34.398248,-119.544913,1,2.8,,,,,In_E In_F Mid_A,In_E In_F Mid_A
2020-35_2,A69-1602-8669,8/14/2020 9:21,5468.44,4929.59,5.0,34.398454,-119.544114,3,2.7,,,,,In_E In_F Mid_A Off_F,In_E In_F Mid_A Off_F
2020-35_2,A69-1602-8669,8/14/2020 9:35,5246.3,5184.11,5.0,34.400749,-119.546529,1,3.5,,,,,In_D_2 In_E Off_E,In_D_2 In_E Off_E
2020-35_2,A69-1602-8669,8/14/2020 9:38,5284.77,5026.42,5.0,34.399327,-119.546111,3,2.8,,,,,In_E In_F Mid_A Off_F,In_E In_F Mid_A Off_F
2020-35_2,A69-1602-8669,8/14/2020 9:41,5345.46,4883.85,5.0,34.398042,-119.545451,14,2.5,,,,,In_E In_F Mid_A Off_E Off_F PB,In_E In_F Mid_A Off_E Off_F PB
2020-35_2,A69-1602-8669,8/14/2020 10:28,5356.09,4494.5,5.0,34.394532,-119.545336,1,4.6,,,,,Mid_A Off_F Off_G,Mid_A Off_F Off_G
2020-35_2,A69-1602-8669,8/14/2020 10:34,5280.33,4664.12,5.0,34.396061,-119.546159,3,2.8,,,,,In_E Mid_A Off_F Off_G,In_E Mid_A Off_F Off_G
2020-35_2,A69-1602-8669,8/14/2020 10:38,5133.86,4654.87,5.0,34.395978,-119.547752,1,11.0,,,,,Mid_A Off_E PB,Mid_A Off_E PB
2020-35_2,A69-1602-8669,8/14/2020 11:15,4238.15,5331.05,5.0,34.402073,-119.557494,2,14.0,,,,,In_B In_C In_D In_D_2 Off_D OS1 OS2,In_B In_C Off_D OS2
2020-35_2,A69-1602-8669,8/14/2020 18:41,3409.4,6055.24,5.0,34.4086,-119.566508,1,9.1,,,,,In_A Off_A Off_B OS1,In_A Off_B OS1
2020-35_2,A69-1602-8669,8/14/2020 18:43,3504.91,6001.65,5.0,34.408118,-119.56547,1,7.0,,,,,Off_A Off_B OS1,Off_A Off_B OS1
2020-35_2,A69-1602-8669,8/14/2020 18:46,3717.09,5925.64,5.0,34.407433,-119.563162,3,4.6,,,,,In_B Off_A Off_B OS1,In_B Off_A Off_B OS1
2020-35_2,A69-1602-8669,8/14/2020 18:48,3809.17,5926.32,5.0,34.407439,-119.56216,1,4.1,,,,,In_B Off_A Off_B Off_C,In_B Off_A Off_C
2020-35_2,A69-1602-8669,8/14/2020 18:52,4027.53,6003.61,5.0,34.408136,-119.559785,14,2.5,,,,,In_B In_C Off_A Off_B Off_C OS1,In_B In_C Off_A Off_B Off_C OS1
2020-35_2,A69-1602-8669,8/14/2020 18:54,4090.51,6087.91,5.0,34.408896,-119.5591,9,2.5,,,,,In_B In_C Off_B Off_C OS1,In_B In_C Off_B Off_C OS1
2020-35_2,A69-1602-8669,8/14/2020 18:56,4212.48,6158.54,5.0,34.409533,-119.557774,1,3.1,,,,,In_B In_C Off_B,In_B In_C Off_B
2020-35_2,A69-1602-8669,8/14/2020 19:01,4425.81,6048.42,5.0,34.40854,-119.555453,1,3.5,,,,,In_B In_C Off_C,In_B In_C Off_C
2020-35_2,A69-1602-8669,8/14/2020 19:03,4483.19,5907.22,5.0,34.407267,-119.554829,1,3.1,,,,,In_C Off_C OS2,In_C Off_C OS2
2020-35_2,A69-1602-8669,8/14/2020 19:05,4518.26,5816.6,5.0,34.40645,-119.554448,4,2.8,,,,,In_C Off_C Off_D OS2,In_C Off_C Off_D OS2
2020-35_2,A69-1602-8669,8/14/2020 19:10,4526.37,5524.57,5.0,34.403818,-119.554359,1,2.9,,,,,Off_C Off_D OS2,Off_C Off_D OS2
2020-35_2,A69-1602-8669,8/14/2020 19:13,4556.89,5336.05,5.0,34.402118,-119.554027,5,3.0,,,,,In_D Off_C Off_D Off_E OS2,In_D Off_C Off_D Off_E OS2
2020-35_2,A69-1602-8669,8/15/2020 5:36,5454.79,4565.33,5.0,34.39517,-119.544262,3,3.2,,,,,In_F Mid_A Off_F Off_G,In_F Mid_A Off_F Off_G
2020-35_2,A69-1602-8669,8/15/2020 5:37,5418.41,4567.79,5.0,34.395193,-119.544658,3,3.0,,,,,In_F Mid_A Off_F Off_G,In_F Mid_A Off_F Off_G
2020-35_2,A69-1602-8669,8/15/2020 6:14,5531.91,5046.88,5.0,34.399511,-119.543423,1,4.0,,,,,In_E In_F Mid_A,In_E In_F Mid_A
2020-35_2,A69-1602-8669,8/15/2020 6:15,5483.07,5044.95,5.0,34.399494,-119.543954,1,3.6,,,,,In_E In_F Mid_A,In_E In_F Mid_A
2020-35_2,A69-1602-8669,8/15/2020 6:19,5352.91,5044.59,5.0,34.399491,-119.54537,1,3.1,,,,,In_E In_F Off_F,In_E In_F Off_F
2020-35_2,A69-1602-8669,8/15/2020 6:22,5263.36,5050.74,5.0,34.399546,-119.546344,8,2.6,,,,,In_E In_F Mid_A Off_E Off_F,In_E In_F Mid_A Off_E Off_F
2020-35_2,A69-1602-8669,8/15/2020 6:26,5190.02,5114.47,5.0,34.400121,-119.547141,4,2.8,,,,,In_D In_E Off_F PB,In_D In_E Off_F PB
2020-35_2,A69-1602-8669,8/15/2020 6:29,5108.52,5119.23,5.0,34.400164,-119.548028,7,2.5,,,,,In_D In_D_2 In_E Off_F PB,In_D In_D_2 In_E Off_F PB
