,TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX
60189,Off_E,A69-1601-62004,5/21/2020 0:04,4788.27,5097.77,6.096,34.39997,-119.551511,3,3.2,3.2,,,,In_D Off_D Off_E Off_F PB,In_D Off_D Off_F PB
60190,Off_C,A69-1601-62644,5/21/2020 0:05,4203.64,5688.45,7.62,34.405295,-119.557869,1,5.0,1.7,,,,Off_B Off_C Off_D OS2,Off_B Off_D OS2
60194,Ref01,A69-1601-65105,5/21/2020 0:08,4717.59,4980.25,9.144,34.398911,-119.552279,9,4.0,3.0,,,,In_D In_E In_F Off_B Off_D Off_E Off_F OS2 PB,In_D In_F Off_D Off_E Off_F OS2
60204,Off_E,A69-1601-62004,5/21/2020 0:13,4789.54,5097.33,6.096,34.399966,-119.551497,3,3.2,4.3,,,,In_D Off_D Off_E Off_F PB,In_D Off_D Off_F PB
60208,Off_C,A69-1601-62644,5/21/2020 0:16,4203.08,5689.01,7.62,34.4053,-119.557875,1,3.7,1.0,,,,In_C Off_B Off_C Off_D,In_C Off_B Off_D
60209,Ref01,A69-1601-65105,5/21/2020 0:17,4718.91,4979.85,9.144,34.398907,-119.552265,8,3.8,4.1,,,,In_D In_E Off_C Off_D Off_E Off_F OS2 PB,In_D Off_C Off_D Off_E Off_F OS2
60217,Off_E,A69-1601-62004,5/21/2020 0:23,4785.59,5095.92,6.096,34.399954,-119.55154,9,2.8,0.3,,,,In_D In_E Off_D Off_E Off_F PB,In_D In_E Off_D Off_F PB
60220,Ref01,A69-1601-65105,5/21/2020 0:27,4719.53,4981.93,9.144,34.398926,-119.552258,2,8.6,5.6,,,,In_C Off_C Off_D Off_F PB,In_C Off_C Off_F PB
60226,Off_E,A69-1601-62004,5/21/2020 0:34,4783.98,5096.83,6.096,34.399962,-119.551557,4,3.1,1.6,,,,In_D In_E Off_D Off_E PB,In_D In_E Off_D PB
60229,In_D,A69-1601-62005,5/21/2020 0:35,5023.67,5467.98,6.705,34.403308,-119.548951,6,3.4,1.2,,,,In_D In_E Off_C Off_D Off_E OS2,In_E Off_C Off_D Off_E OS2
60231,Off_C,A69-1601-62644,5/21/2020 0:35,4201.3,5687.71,7.62,34.405288,-119.557895,7,3.4,1.6,,,,In_B In_D Off_B Off_C Off_D OS2,In_B In_D Off_B Off_D OS2
60233,In_B,A69-1601-62002,5/21/2020 0:38,4188.35,6253.77,6.096,34.410391,-119.558036,1,4.4,0.9,,,,In_B In_C Off_B OS1,In_C Off_B OS1
60234,Ref01,A69-1601-65105,5/21/2020 0:38,4715.87,4980.08,9.144,34.398909,-119.552298,8,3.9,1.6,,,,In_D In_E Off_C Off_D Off_E Off_F OS2 PB,In_D Off_C Off_D Off_E Off_F OS2
60238,Off_E,A69-1601-62004,5/21/2020 0:43,4785.38,5097.25,6.096,34.399966,-119.551542,3,3.2,1.0,,,,In_D Off_D Off_E Off_F PB,In_D Off_D Off_F PB
60239,Off_C,A69-1601-62644,5/21/2020 0:45,4202.24,5689.7,7.62,34.405306,-119.557885,1,5.3,0.6,,,,In_C Off_B Off_C OS2,In_C Off_B OS2
60240,In_D,A69-1601-62005,5/21/2020 0:45,5025.38,5468.56,6.705,34.403313,-119.548932,1,4.1,2.3,,,,In_D In_E Off_E OS2,In_E Off_E OS2
60242,Ref01,A69-1601-65105,5/21/2020 0:48,4713.13,4976.61,9.144,34.398878,-119.552328,6,4.7,2.8,,,,In_D In_E In_F Off_C Off_D Off_E Off_F OS2 PB,In_F Off_C Off_D Off_E Off_F OS2
60247,Off_E,A69-1601-62004,5/21/2020 0:54,4784.35,5096.44,6.096,34.399958,-119.551553,9,2.8,1.1,,,,In_D In_E Off_D Off_E Off_F PB,In_D In_E Off_D Off_F PB
