t,TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX,geometry,TIMEDELTA,speed,prev_pt,direction,turning_angle,state
2020-05-22 14:08:00,2020-13,A69-1602-8664,5/22/2020 14:08,4600.43,5936.79,5.0,34.407534,-119.553554,4,3.8,,,,,In_C Off_C Off_D OS2,In_C Off_C Off_D OS2,POINT (-119.553554 34.407534),0 days 00:00:00,0.323907822537449,,182.69922210891525,0.0,1
2020-05-22 14:09:00,2020-13,A69-1602-8664,5/22/2020 14:09,4599.47,5917.38,5.0,34.407359,-119.553564,6,3.4,,,,,In_B In_C Off_B Off_C OS2,In_B In_C Off_B Off_C OS2,POINT (-119.553564 34.407359),0 days 00:01:00,0.323907822537449,POINT (-119.553554 34.407534),182.69922210891525,-112.94767159726193,1
2020-05-22 14:11:00,2020-13,A69-1602-8664,5/22/2020 14:11,4607.95,5920.45,5.0,34.407387,-119.553472,2,4.1,,,,,In_B In_C In_D In_E Off_A Off_B Off_C OS2,In_C Off_B Off_C OS2,POINT (-119.553472 34.407387),0 days 00:02:00,0.07509048554769958,POINT (-119.553564 34.407359),69.7515505116533,-137.62828432240929,1
2020-05-22 14:12:00,2020-13,A69-1602-8664,5/22/2020 14:12,4593.15,5926.5,5.0,34.407441,-119.553633,2,4.2,,,,,In_C In_D Off_D OS2,In_C In_D Off_D OS2,POINT (-119.553633 34.407441),0 days 00:01:00,0.26614453950257183,POINT (-119.553472 34.407387),292.123266189244,161.2603837063744,1
2020-05-22 14:16:00,2020-13,A69-1602-8664,5/22/2020 14:16,4600.73,5926.08,5.0,34.407437,-119.553551,9,3.3,,,,,In_B In_C In_D Off_B Off_C Off_D OS1 OS2,In_C In_D Off_B Off_C Off_D OS2,POINT (-119.553551 34.407437),0 days 00:04:00,0.03146765959204933,POINT (-119.553633 34.407441),93.38364989561842,5.561870176586584,1
2020-05-22 14:17:00,2020-13,A69-1602-8664,5/22/2020 14:17,4614.88,5923.82,5.0,34.407417,-119.553397,1,4.4,,,,,In_C In_D Off_C OS2,In_C Off_C OS2,POINT (-119.553397 34.407417),0 days 00:01:00,0.23886227216021252,POINT (-119.553551 34.407437),98.945520072205,-20.66646165380478,1
2020-05-22 14:19:00,2020-13,A69-1602-8664,5/22/2020 14:19,4635.24,5928.03,5.0,34.407455,-119.553175,12,3.3,,,,,In_B In_C Off_B Off_C Off_D OS2,In_B In_C Off_B Off_C Off_D OS2,POINT (-119.553175 34.407455),0 days 00:02:00,0.1736809990253709,POINT (-119.553397 34.407417),78.27905841840021,37.08732189341163,1
2020-05-22 14:21:00,2020-13,A69-1602-8664,5/22/2020 14:21,4724.86,5885.8,5.0,34.407074,-119.552201,7,4.4,,,,,In_C Off_B Off_C Off_D OS2,In_C Off_B Off_C Off_D OS2,POINT (-119.552201 34.407074),0 days 00:02:00,0.8251961610108954,POINT (-119.553175 34.407455),115.36638031181184,111.49720194815987,1
2020-05-22 14:23:00,2020-13,A69-1602-8664,5/22/2020 14:23,4698.91,5861.55,5.0,34.406856,-119.552483,12,3.2,,,,,In_C In_D In_E Off_C Off_D Off_E OS2,In_C In_D Off_C Off_D Off_E OS2,POINT (-119.552483 34.406856),0 days 00:02:00,0.2954567326211831,POINT (-119.552201 34.407074),226.86358225997174,-18.34195055811575,1
2020-05-22 14:26:00,2020-13,A69-1602-8664,5/22/2020 14:26,4688.76,5843.05,5.0,34.406689,-119.552593,4,3.8,,,,,In_C Off_C Off_D OS2,In_C Off_C Off_D OS2,POINT (-119.552593 34.406689),0 days 00:03:00,0.11725659235041139,POINT (-119.552483 34.406856),208.521631701856,-75.21090424789804,1
