t,TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX,geometry,TIMEDELTA,speed,prev_pt,direction,turning_angle,state
2020-08-14 07:20:00,2020-32,A69-9006-7850,2020-08-14 07:20:00,5537.86,4696.97,-0.607,34.396357,-119.543359,1,9.2,,,-0.6065,,In_E In_F Mid_A,In_E In_F Mid_A,POINT (-119.543359 34.396357),0 days 00:00:00,0.34103250382547007,,286.44517290226213,0.0,0
2020-08-14 07:22:00,2020-32,A69-9006-7850,2020-08-14 07:22:00,5498.59,4708.43,-0.607,34.396461,-119.543786,1,7.7,,,-0.6065,,In_E In_F Mid_A,In_E In_F Mid_A,POINT (-119.543786 34.396461),0 days 00:02:00,0.34103250382547007,POINT (-119.543359 34.396357),286.44517290226213,33.58041365968676,0
2020-08-14 07:26:00,2020-32,A69-9006-7850,2020-08-14 07:26:00,5416.78,4805.52,-0.607,34.397336,-119.544675,2,3.0,,,-0.6065,,In_E In_F Mid_A Off_F,In_E In_F Mid_A Off_F,POINT (-119.544675 34.397336),0 days 00:04:00,0.528751943031871,POINT (-119.543786 34.396461),320.0255865619489,15.092440672489822,0
2020-08-14 07:27:00,2020-32,A69-9006-7850,2020-08-14 07:27:00,5400.97,4839.44,-0.607,34.397642,-119.544847,2,2.8,,,-0.6065,,In_E In_F Mid_A Off_F,In_E In_F Mid_A Off_F,POINT (-119.544847 34.397642),0 days 00:01:00,0.6241360762669942,POINT (-119.544675 34.397336),335.1180272344387,-9.753951872815428,0
2020-08-14 07:31:00,2020-32,A69-9006-7850,2020-08-14 07:31:00,5340.96,4926.07,-0.607,34.398422,-119.5455,3,2.6,,,-0.6065,,In_E In_F Mid_A Off_F,In_E In_F Mid_A Off_F,POINT (-119.5455 34.398422),0 days 00:04:00,0.4388258496398113,POINT (-119.544847 34.397642),325.3640753616233,-43.2870165814424,0
2020-08-14 07:34:00,2020-32,A69-9006-7850,2020-08-14 07:34:00,5266.44,4941.92,-0.607,34.398565,-119.54631,3,2.7,,,-0.6065,,In_E In_F Mid_A Off_F,In_E In_F Mid_A Off_F,POINT (-119.54631 34.398565),0 days 00:03:00,0.42306084752409195,POINT (-119.5455 34.398422),282.0770587801809,35.91747936976573,0
2020-08-14 07:36:00,2020-32,A69-9006-7850,2020-08-14 07:36:00,5232.45,4979.47,-0.607,34.398904,-119.54668,10,3.0,,,-0.6065,,In_D In_E Off_E Off_F PB,In_D In_E Off_E Off_F PB,POINT (-119.54668 34.398904),0 days 00:02:00,0.4225937747931939,POINT (-119.54631 34.398565),317.9945381499466,4.739045560234148,0
2020-08-14 07:37:00,2020-32,A69-9006-7850,2020-08-14 07:37:00,5211.8,5006.55,-0.607,34.399148,-119.546905,3,3.1,,,-0.6065,,In_E In_F Off_E PB,In_E In_F Off_E PB,POINT (-119.546905 34.399148),0 days 00:01:00,0.5678034518923074,POINT (-119.54668 34.398904),322.73358371018077,10.507395124353874,0
2020-08-14 07:39:00,2020-32,A69-9006-7850,2020-08-14 07:39:00,5193.57,5042.49,-0.607,34.399472,-119.547103,15,2.5,,,-0.6065,,In_D In_E In_F Mid_A Off_E PB,In_D In_E In_F Mid_A Off_E PB,POINT (-119.547103 34.399472),0 days 00:02:00,0.33574477247836326,POINT (-119.546905 34.399148),333.24097883453464,120.82496834966557,0
2020-08-14 07:41:00,2020-32,A69-9006-7850,2020-08-14 07:41:00,5257.79,5037.94,-0.607,34.399431,-119.546404,3,2.9,,,-0.6065,,In_E Mid_A Off_F PB,In_E Mid_A Off_F PB,POINT (-119.546404 34.399431),0 days 00:02:00,0.5369486617148449,POINT (-119.547103 34.399472),94.06594718420024,-7.8391626943070625,0
