t,TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX,geometry,TIMEDELTA,speed,prev_pt,direction,turning_angle,state
2020-07-31 16:20:00,2020-33,A69-9006-7854,7/31/2020 16:20,3599.77,6612.74,4.245,34.413626,-119.564439,7,3.9,,,4.2447,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1,POINT (-119.564439 34.413626),0 days 00:00:00,0.8400940007301905,,12.799972273887931,0.0,0
2020-07-31 16:21:00,2020-33,A69-9006-7854,7/31/2020 16:21,3610.92,6661.85,1.516,34.414069,-119.564317,1,7.3,,,1.5159,,In_A Off_A OS1,In_A Off_A OS1,POINT (-119.564317 34.414069),0 days 00:01:00,0.8400940007301905,POINT (-119.564439 34.413626),12.799972273887931,54.40840637351175,0
2020-07-31 16:24:00,2020-33,A69-9006-7854,7/31/2020 16:24,3661.65,6682.97,0.758,34.41426,-119.563766,4,7.2,,,0.7579,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1,POINT (-119.563766 34.41426),0 days 00:03:00,0.3050454561044355,POINT (-119.564317 34.414069),67.20837864739968,-179.89258582599362,1
2020-07-31 16:26:00,2020-33,A69-9006-7854,7/31/2020 16:26,3642.98,6675.2,0.91,34.41419,-119.563969,1,7.9,,,0.9095,,In_A Off_A OS1,In_A Off_A OS1,POINT (-119.563969 34.41419),0 days 00:02:00,0.16844652338465327,POINT (-119.563766 34.41426),247.31579282140606,-159.96172417410196,1
2020-07-31 16:27:00,2020-33,A69-9006-7854,7/31/2020 16:27,3674.35,6676.66,1.213,34.414203,-119.563628,1,8.0,,,1.2127,,In_A Off_A OS1,In_A Off_A OS1,POINT (-119.563628 34.414203),0 days 00:01:00,0.5230439257102416,POINT (-119.563969 34.41419),87.35406864730413,-147.01101037736515,1
2020-07-31 16:28:00,2020-33,A69-9006-7854,7/31/2020 16:28,3652.82,6689.25,0.758,34.414316,-119.563862,1,8.7,,,0.7579,,In_A Off_A OS1,In_A Off_A OS1,POINT (-119.563862 34.414316),0 days 00:01:00,0.414968964607135,POINT (-119.563628 34.414203),300.343058269939,-129.00531107758673,1
2020-07-31 16:30:00,2020-33,A69-9006-7854,7/31/2020 16:30,3657.71,6657.41,1.971,34.414029,-119.563809,1,7.0,,,1.9707,,In_A Off_A OS1,In_A Off_A OS1,POINT (-119.563809 34.414029),0 days 00:02:00,0.26839648374962427,POINT (-119.563862 34.414316),171.33774719235225,-29.360870870450935,0
2020-07-31 16:31:00,2020-33,A69-9006-7854,7/31/2020 16:31,3677.75,6631.87,1.516,34.413799,-119.563591,1,6.2,,,1.5159,,In_A Off_A OS1,In_A Off_A OS1,POINT (-119.563591 34.413799),0 days 00:01:00,0.5407367428151023,POINT (-119.563809 34.414029),141.97687632190133,-41.8039255095717,0
2020-07-31 16:32:00,2020-33,A69-9006-7854,7/31/2020 16:32,3708.14,6626.42,1.516,34.41375,-119.56326,1,6.3,,,1.5159,,In_A Off_A OS1,In_A Off_A OS1,POINT (-119.56326 34.41375),0 days 00:01:00,0.5151990948403575,POINT (-119.563591 34.413799),100.17295081232965,-8.862882398194307,0
2020-07-31 16:33:00,2020-33,A69-9006-7854,7/31/2020 16:33,3742.29,6625.61,1.364,34.413743,-119.562889,2,4.8,,,1.3643,,In_A In_B Off_A OS1,In_A In_B Off_A OS1,POINT (-119.562889 34.413743),0 days 00:01:00,0.5686087438367359,POINT (-119.56326 34.41375),91.31006841413534,-101.42372479481921,1
2020-07-31 16:36:00,2020-33,A69-9006-7854,7/31/2020 16:36,3737.12,6654.34,1.213,34.414002,-119.562945,2,5.3,,,1.2127,,In_A In_B Off_A OS1,In_A In_B Off_A OS1,POINT (-119.562945 34.414002),0 days 00:03:00,0.16215812848482322,POINT (-119.562889 34.413743),349.8863436193161,111.53517071286375,1
