t,TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX,geometry,TIMEDELTA,speed,prev_pt,direction,turning_angle,state
2020-08-04 04:26:00,2020-34,A69-1602-3237,8/4/2020 4:26,3619.08,6164.01,5.0,34.409581,-119.564228,1,3.2,,,,,Off_A Off_B OS1,Off_A Off_B OS1,POINT (-119.564228 34.409581),0 days 00:00:00,0.39439039370667023,,127.39808284894292,0.0,1
2020-08-04 04:42:00,2020-34,A69-1602-3237,8/4/2020 4:42,3920.32,5934.68,5.0,34.407514,-119.560951,1,5.0,,,,,In_B Off_B Off_C OS1,In_B Off_C OS1,POINT (-119.560951 34.407514),0 days 00:16:00,0.39439039370667023,POINT (-119.564228 34.409581),127.39808284894292,-69.40731633507879,1
2020-08-04 04:43:00,2020-34,A69-1602-3237,8/4/2020 4:43,3964.23,5961.97,5.0,34.40776,-119.560474,1,3.1,,,,,In_B Off_B Off_C,In_B Off_B Off_C,POINT (-119.560474 34.40776),0 days 00:01:00,0.860880829673463,POINT (-119.560951 34.407514),57.990766513864116,-7.516855356765182,1
2020-08-04 04:44:00,2020-34,A69-1602-3237,8/4/2020 4:44,4014.32,6003.04,5.0,34.408131,-119.559929,1,4.3,,,,,In_B Off_B OS1,In_B Off_B OS1,POINT (-119.559929 34.408131),0 days 00:01:00,1.0807039279987432,POINT (-119.560474 34.40776),50.47391115709894,80.76980010918894,1
2020-08-04 04:50:00,2020-34,A69-1602-3237,8/4/2020 4:50,4145.58,5888.42,5.0,34.407098,-119.558501,4,2.7,,,,,In_B In_C Off_B Off_C,In_B In_C Off_B Off_C,POINT (-119.558501 34.407098),0 days 00:06:00,0.48407159643637054,POINT (-119.559929 34.408131),131.2437112662879,-33.1537424323721,1
2020-08-04 04:53:00,2020-34,A69-1602-3237,8/4/2020 4:53,4263.18,5871.79,5.0,34.406948,-119.557222,1,3.2,,,,,In_B In_C Off_C,In_B In_C Off_C,POINT (-119.557222 34.406948),0 days 00:03:00,0.6598055296304043,POINT (-119.558501 34.407098),98.0899688339158,31.824296983448214,1
2020-08-04 05:04:00,2020-34,A69-1602-3237,8/4/2020 5:04,4428.45,5734.1,5.0,34.405707,-119.555424,1,3.1,,,,,In_C Off_C OS2,In_C Off_C OS2,POINT (-119.555424 34.405707),0 days 00:11:00,0.32595003381275134,POINT (-119.557222 34.406948),129.91426581736403,0.5879959970740714,1
2020-08-04 05:09:00,2020-34,A69-1602-3237,8/4/2020 5:09,4570.2,5613.71,5.0,34.404621,-119.553883,4,2.8,,,,,In_C In_D Off_C Off_D,In_C In_D Off_C Off_D,POINT (-119.553883 34.404621),0 days 00:05:00,0.6199257995720405,POINT (-119.555424 34.405707),130.5022618144381,16.45872393941767,1
2020-08-04 05:11:00,2020-34,A69-1602-3237,8/4/2020 5:11,4598.59,5570.15,5.0,34.404229,-119.553574,3,2.9,,,,,In_D Off_C Off_D OS2,In_D Off_C Off_D OS2,POINT (-119.553574 34.404229),0 days 00:02:00,0.43285842853920636,POINT (-119.553883 34.404621),146.96098575385577,-26.39627613050136,1
2020-08-04 05:19:00,2020-34,A69-1602-3237,8/4/2020 5:19,4837.07,5429.98,5.0,34.402965,-119.55098,1,3.3,,,,,In_D Off_D OS2,In_D Off_D OS2,POINT (-119.55098 34.402965),0 days 00:08:00,0.5763939237891379,POINT (-119.553574 34.404229),120.56470962335442,-54.134466926669354,1
2020-08-04 05:21:00,2020-34,A69-1602-3237,8/4/2020 5:21,4907.34,5460.5,5.0,34.40324,-119.550216,1,2.9,,,,,In_D Off_E OS2,In_D Off_E OS2,POINT (-119.550216 34.40324),0 days 00:02:00,0.6382056250083122,POINT (-119.55098 34.402965),66.43024269668507,85.98213000273931,1
2020-08-04 05:33:00,2020-34,A69-1602-3237,8/4/2020 5:33,5089.7,5112.88,5.0,34.400107,-119.548232,1,3.6,,,,,In_E Mid_A Off_E,In_E Mid_A Off_E,POINT (-119.548232 34.400107),0 days 00:12:00,0.545153420129151,POINT (-119.550216 34.40324),152.4123726994244,44.95201954274603,1
2020-08-04 05:36:00,2020-34,A69-1602-3237,8/4/2020 5:36,5061.27,5022.16,5.0,34.399289,-119.548542,3,3.3,,,,,Mid_A Off_E Off_F PB,Mid_A Off_E Off_F PB,POINT (-119.548542 34.399289),0 days 00:03:00,0.5284010929749026,POINT (-119.548232 34.400107),197.36439224217042,-34.12552226678474,1
2020-08-04 05:38:00,2020-34,A69-1602-3237,8/4/2020 5:38,5083.48,4948.64,5.0,34.398626,-119.5483,8,2.5,,,,,In_E Mid_A Off_E Off_F PB,In_E Mid_A Off_E Off_F PB,POINT (-119.5483 34.398626),0 days 00:02:00,0.640324196748633,POINT (-119.548542 34.399289),163.23886997538568,-26.494125248458882,1
2020-08-04 06:31:00,2020-34,A69-1602-3237,8/4/2020 6:31,5278.63,4742.17,5.0,34.396765,-119.546178,2,3.8,,,,,In_E In_F Mid_A Off_F,In_E In_F Mid_A Off_F,POINT (-119.546178 34.396765),0 days 00:53:00,0.08932707043356007,POINT (-119.5483 34.398626),136.7447447269268,-117.67627826117972,0
2020-08-04 06:34:00,2020-34,A69-1602-3237,8/4/2020 6:34,5315.64,4848.93,5.0,34.397727,-119.545775,2,2.7,,,,,In_E In_F Mid_A Off_F,In_E In_F Mid_A Off_F,POINT (-119.545775 34.397727),0 days 00:03:00,0.627584628624349,POINT (-119.546178 34.396765),19.068466465747065,-13.147789600678953,1
2020-08-04 06:36:00,2020-34,A69-1602-3237,8/4/2020 6:36,5324.17,4930.1,5.0,34.398459,-119.545683,3,2.6,,,,,In_E In_F Mid_A Off_F,In_E In_F Mid_A Off_F,POINT (-119.545683 34.398459),0 days 00:02:00,0.6803328137503326,POINT (-119.545775 34.397727),5.920676865068117,-13.5592214466273,1
2020-08-04 06:38:00,2020-34,A69-1602-3237,8/4/2020 6:38,5304.82,5073.46,5.0,34.399751,-119.545893,15,2.5,,,,,In_D In_E In_F Mid_A Off_E Off_F,In_D In_E In_F Mid_A Off_E Off_F,POINT (-119.545893 34.399751),0 days 00:02:00,1.2051333422204331,POINT (-119.545683 34.398459),352.3614554184408,-16.12474782823535,1
2020-08-04 06:40:00,2020-34,A69-1602-3237,8/4/2020 6:40,5258.08,5179.02,5.0,34.400703,-119.546401,2,3.3,,,,,In_D In_E In_F Off_E,In_D In_E In_F Off_E,POINT (-119.546401 34.400703),0 days 00:02:00,0.962284017118193,POINT (-119.545893 34.399751),336.23670759020547,153.22833766012081,0
2020-08-04 06:49:00,2020-34,A69-1602-3237,8/4/2020 6:49,5301.68,5143.36,5.0,34.400381,-119.545927,12,2.8,,,,,In_D In_E In_F Mid_A Off_E Off_F,In_D In_E In_F Mid_A Off_E Off_F,POINT (-119.545927 34.400381),0 days 00:09:00,0.10435341773289408,POINT (-119.546401 34.400703),129.46504525032628,98.99616315775405,0
2020-08-04 06:53:00,2020-34,A69-1602-3237,8/4/2020 6:53,5154.05,5013.11,5.0,34.399207,-119.547533,9,2.5,,,,,In_D In_E Mid_A Off_E PB,In_D In_E Mid_A Off_E PB,POINT (-119.547533 34.399207),0 days 00:04:00,0.8203892177467373,POINT (-119.545927 34.400381),228.46120840808032,33.31975356050544,1
2020-08-04 06:55:00,2020-34,A69-1602-3237,8/4/2020 6:55,5059.11,4999.49,5.0,34.399084,-119.548565,9,2.5,,,,,In_E Mid_A Off_E Off_F PB,In_E Mid_A Off_E Off_F PB,POINT (-119.548565 34.399084),0 days 00:02:00,0.7989064410100596,POINT (-119.547533 34.399207),261.78096196858576,9.391872816351162,1
2020-08-04 06:58:00,2020-34,A69-1602-3237,8/4/2020 6:58,4933.88,5002.03,5.0,34.399107,-119.549927,4,2.6,,,,,In_E Off_E Off_F PB,In_E Off_E Off_F PB,POINT (-119.549927 34.399107),0 days 00:03:00,0.6959031028652026,POINT (-119.548565 34.399084),271.1728347849369,10.257437210231322,1
2020-08-04 07:00:00,2020-34,A69-1602-3237,8/4/2020 7:00,4835.81,5021.79,5.0,34.399285,-119.550994,1,5.2,,,,,In_D Off_F PB,In_D Off_F PB,POINT (-119.550994 34.399285),0 days 00:02:00,0.8339857287477344,POINT (-119.549927 34.399107),281.43027199516825,49.86432200988633,1
2020-08-04 07:55:00,2020-34,A69-1602-3237,8/4/2020 7:55,4448.31,5726.04,5.0,34.405634,-119.555208,1,3.1,,,,,In_C Off_C Off_D,In_C Off_C Off_D,POINT (-119.555208 34.405634),0 days 00:55:00,0.24358739858195497,POINT (-119.550994 34.399285),331.2945940050546,95.26482872819133,0
2020-08-04 07:56:00,2020-34,A69-1602-3237,8/4/2020 7:56,4527.55,5760.21,5.0,34.405942,-119.554347,5,2.6,,,,,In_B In_C In_D Off_C OS2,In_B In_C In_D Off_C OS2,POINT (-119.554347 34.405942),0 days 00:01:00,1.4370235436279875,POINT (-119.555208 34.405634),66.55942273324592,-18.30459683357123,1
2020-08-04 07:59:00,2020-34,A69-1602-3237,8/4/2020 7:59,4626.13,5847.84,5.0,34.406732,-119.553274,2,3.6,,,,,In_C In_D Off_D OS2,In_C In_D Off_D OS2,POINT (-119.553274 34.406732),0 days 00:03:00,0.7330911260840234,POINT (-119.554347 34.405942),48.2548258996747,-7.070664333532248,1
2020-08-04 08:02:00,2020-34,A69-1602-3237,8/4/2020 8:02,4705.14,5937.68,5.0,34.407542,-119.552415,3,4.2,,,,,In_B In_C In_D Off_C OS2,In_B In_C In_D Off_C OS2,POINT (-119.552415 34.407542),0 days 00:03:00,0.664605429561709,POINT (-119.553274 34.406732),41.18416156614245,122.11008426549532,1
2020-08-04 08:04:00,2020-34,A69-1602-3237,8/4/2020 8:04,4728.58,5859.97,5.0,34.406841,-119.55216,2,4.3,,,,,In_C In_D Off_C OS2,In_C In_D Off_C OS2,POINT (-119.55216 34.406841),0 days 00:02:00,0.6768270209757398,POINT (-119.552415 34.407542),163.2942458316378,89.27292822912871,1
2020-08-04 08:06:00,2020-34,A69-1602-3237,8/4/2020 8:06,4672.91,5842.53,5.0,34.406684,-119.552766,2,3.8,,,,,In_C In_D Off_D OS2,In_C In_D Off_D OS2,POINT (-119.552766 34.406684),0 days 00:02:00,0.4864619185019436,POINT (-119.55216 34.406841),252.5671740607665,31.285282901147227,1
2020-08-04 08:08:00,2020-34,A69-1602-3237,8/4/2020 8:08,4592.92,5862.19,5.0,34.406861,-119.553636,1,7.1,,,,,Off_C Off_D OS2,Off_C Off_D OS2,POINT (-119.553636 34.406861),0 days 00:02:00,0.6863680591222056,POINT (-119.552766 34.406684),283.85245696191373,21.84292870115075,1
2020-08-04 08:12:00,2020-34,A69-1602-3237,8/4/2020 8:12,4405.52,5996.19,5.0,34.408069,-119.555674,1,3.1,,,,,In_B In_C Off_C,In_B In_C Off_C,POINT (-119.555674 34.408069),0 days 00:04:00,0.9598428270635836,POINT (-119.553636 34.406861),305.6953856630645,11.438485404260907,1
2020-08-04 08:14:00,2020-34,A69-1602-3237,8/4/2020 8:14,4360.82,6044.08,5.0,34.408501,-119.55616,4,2.9,,,,,In_B In_C Off_B Off_C,In_B In_C Off_B Off_C,POINT (-119.55616 34.408501),0 days 00:02:00,0.5460121458445557,POINT (-119.555674 34.408069),317.1338710673254,-3.5754790376273027,1
2020-08-04 08:26:00,2020-34,A69-1602-3237,8/4/2020 8:26,4014.91,6371.56,5.0,34.411453,-119.559923,1,4.0,,,,,In_A In_B Off_B,In_A In_B Off_B,POINT (-119.559923 34.411453),0 days 00:12:00,0.6616199618489854,POINT (-119.55616 34.408501),313.5583920296981,0.42008250055909807,1
2020-08-04 08:29:00,2020-34,A69-1602-3237,8/4/2020 8:29,3911.67,6470.76,5.0,34.412347,-119.561046,4,3.7,,,,,In_A In_B Off_A Off_B,In_A In_B Off_A Off_B,POINT (-119.561046 34.412347),0 days 00:03:00,0.7953259701106415,POINT (-119.559923 34.411453),313.9784745302572,-13.150452395540475,1
2020-08-04 08:31:00,2020-34,A69-1602-3237,8/4/2020 8:31,3863.67,6499.31,5.0,34.412604,-119.561568,5,3.7,,,,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1,POINT (-119.561568 34.412604),0 days 00:02:00,0.46516508996509415,POINT (-119.561046 34.412347),300.8280221347167,-37.27982038642159,1
2020-08-04 08:38:00,2020-34,A69-1602-3237,8/4/2020 8:38,3612.37,6471.08,5.0,34.412349,-119.564301,1,4.7,,,,,In_A Off_A Off_B,In_A Off_A Off_B,POINT (-119.564301 34.412349),0 days 00:07:00,0.6020189758845379,POINT (-119.561568 34.412604),263.5482017482951,22.929528222669784,1
2020-08-04 08:46:00,2020-34,A69-1602-3237,8/4/2020 8:46,3343.81,6550.19,5.0,34.413062,-119.567223,1,9.1,,,,,In_A Off_A OS1,In_A Off_A OS1,POINT (-119.567223 34.413062),0 days 00:08:00,0.5834111319143489,POINT (-119.564301 34.412349),286.4777299709649,-175.91087454217643,0
2020-08-04 09:17:00,2020-34,A69-1602-3237,8/4/2020 9:17,3537.15,6477.9,5.0,34.412411,-119.56512,4,3.1,,,,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1,POINT (-119.56512 34.412411),0 days 00:31:00,0.11096076880338548,POINT (-119.567223 34.413062),110.56685542878847,-25.764998301682116,0
