t,TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX,geometry,TIMEDELTA,speed,prev_pt,direction,turning_angle,state
2020-07-31 17:04:00,2020-35_2,A69-1602-8669,7/31/2020 17:04,4458.89,5873.14,5.0,34.40696,-119.555093,1,3.1,,,,,In_C Off_C OS2,In_C Off_C OS2,POINT (-119.555093 34.40696),0 days 00:00:00,0.8541428439915879,,198.72425211734347,0.0,2
2020-07-31 17:07:00,2020-35_2,A69-1602-8669,7/31/2020 17:07,4409.37,5727.57,5.0,34.405648,-119.555632,4,2.9,,,,,In_C Off_B Off_D OS2,In_C Off_B Off_D OS2,POINT (-119.555632 34.405648),0 days 00:03:00,0.8541428439915879,POINT (-119.555093 34.40696),198.72425211734347,-30.14311540832229,2
2020-07-31 17:10:00,2020-35_2,A69-1602-8669,7/31/2020 17:10,4433.2,5610.24,5.0,34.40459,-119.555373,1,3.1,,,,,Off_C Off_D OS2,Off_C Off_D OS2,POINT (-119.555373 34.40459),0 days 00:03:00,0.6653066543629178,POINT (-119.555632 34.405648),168.58113670902117,-30.350542222850677,2
2020-07-31 17:14:00,2020-35_2,A69-1602-8669,7/31/2020 17:14,4579.19,5447.5,5.0,34.403123,-119.553785,2,3.3,,,,,In_D Off_C Off_D OS2,In_D Off_C Off_D OS2,POINT (-119.553785 34.403123),0 days 00:04:00,0.9109764144215895,POINT (-119.555373 34.40459),138.2305944861705,42.08858494843233,2
2020-07-31 17:17:00,2020-35_2,A69-1602-8669,7/31/2020 17:17,4578.34,5299.61,5.0,34.40179,-119.553794,2,6.0,,,,,In_C In_D In_E Off_C,In_C In_D In_E Off_C,POINT (-119.553794 34.40179),0 days 00:03:00,0.8215087429761634,POINT (-119.553785 34.403123),180.31917943460283,20.760376289104805,2
2020-07-31 17:21:00,2020-35_2,A69-1602-8669,7/31/2020 17:21,4508.36,5118.91,5.0,34.400161,-119.554555,8,4.2,,,,,In_D Off_D Off_E Off_F OS2 PB,In_D Off_D Off_E Off_F OS2 PB,POINT (-119.554555 34.400161),0 days 00:04:00,0.8074121348945883,POINT (-119.553794 34.40179),201.07955572370764,-77.92704939914591,2
2020-07-31 19:39:00,2020-35_2,A69-1602-8669,7/31/2020 19:39,5217.69,4657.72,5.0,34.396003,-119.546841,1,12.5,,,,,Mid_A Off_E Off_F PB,Mid_A Off_E PB,POINT (-119.546841 34.396003),0 days 02:18:00,0.10218522428737853,POINT (-119.554555 34.400161),123.15250632456173,-69.64998390738563,1
2020-07-31 19:42:00,2020-35_2,A69-1602-8669,7/31/2020 19:42,5312.11,4727.18,5.0,34.39663,-119.545814,4,2.4,,,,,In_F Mid_A Off_F Off_G PB,In_F Mid_A Off_F Off_G PB,POINT (-119.545814 34.39663),0 days 00:03:00,0.6515842002842578,POINT (-119.546841 34.396003),53.50252241717607,9.594691005037198,2
2020-07-31 19:43:00,2020-35_2,A69-1602-8669,7/31/2020 19:43,5381.04,4762.02,5.0,34.396944,-119.545064,1,4.2,,,,,In_E In_F Mid_A Off_F,In_E In_F Off_F,POINT (-119.545064 34.396944),0 days 00:01:00,1.2876980901165418,POINT (-119.545814 34.39663),63.09721342221326,17.392115468934726,2
2020-07-31 19:45:00,2020-35_2,A69-1602-8669,7/31/2020 19:45,5474.88,4777.69,5.0,34.397085,-119.544044,2,3.7,,,,,In_E In_F Mid_A Mid_B Off_F,In_E In_F Mid_A Off_F,POINT (-119.544044 34.397085),0 days 00:02:00,0.7923921910119566,POINT (-119.545064 34.396944),80.48932889114798,-90.99454593084477,2
2020-07-31 19:53:00,2020-35_2,A69-1602-8669,7/31/2020 19:53,5420.01,5071.89,5.0,34.399737,-119.54464,1,3.5,,,,,In_E In_F Off_F,In_E In_F Off_F,POINT (-119.54464 34.399737),0 days 00:08:00,0.6234298213773551,POINT (-119.544044 34.397085),349.4947829603032,-13.836925358559306,2
2020-07-31 19:55:00,2020-35_2,A69-1602-8669,7/31/2020 19:55,5365.18,5192.47,5.0,34.400824,-119.545236,8,3.2,,,,,In_D In_E In_F Mid_A Off_E Off_F PB,In_D In_E In_F Mid_A Off_F PB,POINT (-119.545236 34.400824),0 days 00:02:00,1.1037464381788724,POINT (-119.54464 34.399737),335.6578576017439,-18.60658173456478,2
2020-07-31 20:16:00,2020-35_2,A69-1602-8669,7/31/2020 20:16,4734.34,5867.06,5.0,34.406905,-119.552097,7,3.6,,,,,In_C In_D Off_C Off_D OS2,In_C In_D Off_C Off_D OS2,POINT (-119.552097 34.406905),0 days 00:21:00,0.7329959894042793,POINT (-119.545236 34.400824),317.05127586717913,-62.37800857921005,2
2020-07-31 20:19:00,2020-35_2,A69-1602-8669,7/31/2020 20:19,4613.98,5834.18,5.0,34.406609,-119.553406,4,3.1,,,,,In_C Off_C Off_D OS2,In_C Off_C Off_D OS2,POINT (-119.553406 34.406609),0 days 00:03:00,0.6930610439481477,POINT (-119.552097 34.406905),254.67326728796908,79.2681984015781,2
2020-07-31 20:25:00,2020-35_2,A69-1602-8669,7/31/2020 20:25,4476.46,6114.23,5.0,34.409133,-119.554902,1,5.4,,,,,In_B In_C Off_C,In_B In_C Off_C,POINT (-119.554902 34.409133),0 days 00:06:00,0.8665189340715426,POINT (-119.553406 34.406609),333.9414656895472,-26.115990177410016,2
2020-07-31 20:41:00,2020-35_2,A69-1602-8669,7/31/2020 20:41,3900.61,6559.3,5.0,34.413145,-119.561166,1,11.5,,,,,In_A Off_A OS1,In_A Off_A OS1,POINT (-119.561166 34.413145),0 days 00:16:00,0.7581483070065786,POINT (-119.554902 34.409133),307.8254755121372,-47.77682410866845,2
2020-07-31 20:42:00,2020-35_2,A69-1602-8669,7/31/2020 20:42,3803.46,6542.36,5.0,34.412992,-119.562223,2,4.2,,,,,In_A In_B Off_A OS1,In_A In_B Off_A OS1,POINT (-119.562223 34.412992),0 days 00:01:00,1.6441088821108572,POINT (-119.561166 34.413145),260.04865140346874,-74.55305148941751,1
2020-07-31 21:15:00,2020-35_2,A69-1602-8669,7/31/2020 21:15,3788.1,6383.44,5.0,34.41156,-119.56239,2,3.1,,,,,In_A In_B Off_A OS1,In_A In_B Off_A OS1,POINT (-119.56239 34.41156),0 days 00:33:00,0.08060191506114013,POINT (-119.562223 34.412992),185.4955999140512,166.4747918782953,1
2020-07-31 21:19:00,2020-35_2,A69-1602-8669,7/31/2020 21:19,3770.56,6507.43,5.0,34.412677,-119.562581,1,4.6,,,,,In_A Off_A OS1,In_A Off_A OS1,POINT (-119.562581 34.412677),0 days 00:04:00,0.5214446330379213,POINT (-119.56239 34.41156),351.9703917923465,-149.4878982525119,2
2020-07-31 21:29:00,2020-35_2,A69-1602-8669,7/31/2020 21:29,3671.84,6270.12,5.0,34.410538,-119.563654,1,3.5,,,,,Off_A Off_B OS1,Off_A Off_B OS1,POINT (-119.563654 34.410538),0 days 00:10:00,0.4282806641067913,POINT (-119.562581 34.412677),202.48249353983456,-70.32371685363313,2
2020-07-31 21:39:00,2020-35_2,A69-1602-8669,7/31/2020 21:39,4067.62,5913.3,5.0,34.407322,-119.559349,3,2.9,,,,,In_B Off_B Off_C OS1,In_B Off_B Off_C OS1,POINT (-119.559349 34.407322),0 days 00:10:00,0.8880828293177921,POINT (-119.563654 34.410538),132.15877668620146,-68.11404657000665,2
2020-07-31 21:42:00,2020-35_2,A69-1602-8669,7/31/2020 21:42,4171.31,5963.56,5.0,34.407775,-119.558221,4,2.7,,,,,In_B In_C Off_B Off_C,In_B In_C Off_B Off_C,POINT (-119.558221 34.407775),0 days 00:03:00,0.6402374396769972,POINT (-119.559349 34.407322),64.04473011619484,-9.483963569889896,2
2020-07-31 21:43:00,2020-35_2,A69-1602-8669,7/31/2020 21:43,4247.31,6017.39,5.0,34.40826,-119.557395,4,2.7,,,,,In_B In_C Off_B Off_C,In_B In_C Off_B Off_C,POINT (-119.557395 34.40826),0 days 00:01:00,1.5511543704210418,POINT (-119.558221 34.407775),54.56076654630493,32.12097415229017,2
2020-07-31 21:46:00,2020-35_2,A69-1602-8669,7/31/2020 21:46,4372.19,6024.52,5.0,34.408325,-119.556036,2,2.9,,,,,In_B In_C Off_C OS1,In_B In_C Off_C OS1,POINT (-119.556036 34.408325),0 days 00:03:00,0.6953051375872183,POINT (-119.557395 34.40826),86.68174069859509,38.3437429333374,2
2020-07-31 21:54:00,2020-35_2,A69-1602-8669,7/31/2020 21:54,4641.24,5836.82,5.0,34.406633,-119.55311,4,3.3,,,,,In_C Off_C Off_D OS2,In_C Off_C Off_D OS2,POINT (-119.55311 34.406633),0 days 00:08:00,0.6833862147997384,POINT (-119.556036 34.408325),125.0254836319325,0.06738477016211308,2
2020-07-31 21:57:00,2020-35_2,A69-1602-8669,7/31/2020 21:57,4755.47,5756.96,5.0,34.405913,-119.551868,4,3.5,,,,,In_C In_D Off_D Off_E OS2,In_C In_D Off_D Off_E,POINT (-119.551868 34.405913),0 days 00:03:00,0.7741803808765414,POINT (-119.55311 34.406633),125.09286840209461,34.536751658250644,2
2020-07-31 22:03:00,2020-35_2,A69-1602-8669,7/31/2020 22:03,4821.25,5580.55,5.0,34.404322,-119.551152,3,3.4,,,,,In_D Off_D Off_E OS2,In_D Off_D Off_E OS2,POINT (-119.551152 34.404322),0 days 00:06:00,0.5232426899880545,POINT (-119.551868 34.405913),159.62962006034525,-35.396063850979765,2
